year,min_co2_stored
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.2430804274972158
2034,0.3470833610724045
2035,0.4102421278841129
2036,0.8027316710995487
2037,0.9600340667536952
2038,1.17716879711061
2039,1.693952057925253
2040,1.690448871227062
2041,1.790935568933919
2042,2.9972014866588
2043,3.045918402124951
2044,3.997671541885802
2045,4.776262867611652
2046,5.101493605685555
2047,5.092655080448822
2048,5.303487513879075
2049,6.082456662333489
2050,7.015715800316258
2051,7.014052592393782
2052,7.020830767570569
2053,7.033004071584504
2054,7.047005757499733
2055,7.063750183312417
2056,7.068708631242723
2057,7.083440142014335
2058,7.090159430394378
2059,7.104894269207791
2060,7.105639578936278
