edge,node_from,node_to
acorn_UK-bifrost_DK,acorn_UK,bifrost_DK
acorn_UK-luna_NO,acorn_UK,luna_NO
acorn_UK-northern_endurance_UK,acorn_UK,northern_endurance_UK
acorn_UK-orion_UK,acorn_UK,orion_UK
acorn_UK-trudvang_NO,acorn_UK,trudvang_NO
aramis_NL-bifrost_DK,aramis_NL,bifrost_DK
aramis_NL-greensand_DK,aramis_NL,greensand_DK
aramis_NL-l10_area_NL,aramis_NL,l10_area_NL
aramis_NL-porthos_NL,aramis_NL,porthos_NL
aramis_NL-rotterdam_NL,aramis_NL,rotterdam_NL
aramis_NL-wilhelmshaven_DE,aramis_NL,wilhelmshaven_DE
bifrost_DK-acorn_UK,bifrost_DK,acorn_UK
bifrost_DK-aramis_NL,bifrost_DK,aramis_NL
bifrost_DK-greensand_DK,bifrost_DK,greensand_DK
bifrost_DK-havstjerne_NO,bifrost_DK,havstjerne_NO
bifrost_DK-l10_area_NL,bifrost_DK,l10_area_NL
bifrost_DK-northern_endurance_UK,bifrost_DK,northern_endurance_UK
bifrost_DK-trudvang_NO,bifrost_DK,trudvang_NO
cement_174_CH-chemical_11_CH,cement_174_CH,chemical_11_CH
cement_174_CH-waste_206_CH,cement_174_CH,waste_206_CH
cement_174_CH-waste_223_CH,cement_174_CH,waste_223_CH
cement_174_CH-waste_227_CH,cement_174_CH,waste_227_CH
cement_175_CH-cement_177_CH,cement_175_CH,cement_177_CH
cement_175_CH-chemical_16_CH,cement_175_CH,chemical_16_CH
cement_175_CH-trullikon_CH,cement_175_CH,trullikon_CH
cement_175_CH-waste_290_CH,cement_175_CH,waste_290_CH
cement_176_CH-energy_344_CH,cement_176_CH,energy_344_CH
cement_176_CH-waste_278_CH,cement_176_CH,waste_278_CH
cement_176_CH-waste_280_CH,cement_176_CH,waste_280_CH
cement_176_CH-waste_362_CH,cement_176_CH,waste_362_CH
cement_177_CH-cement_175_CH,cement_177_CH,cement_175_CH
cement_177_CH-chemical_16_CH,cement_177_CH,chemical_16_CH
cement_177_CH-energy_382_CH,cement_177_CH,energy_382_CH
cement_177_CH-waste_110_CH,cement_177_CH,waste_110_CH
cement_177_CH-waste_290_CH,cement_177_CH,waste_290_CH
cement_177_CH-waste_417_CH,cement_177_CH,waste_417_CH
cement_179_CH-chemical_11_CH,cement_179_CH,chemical_11_CH
cement_179_CH-waste_110_CH,cement_179_CH,waste_110_CH
cement_179_CH-waste_274_CH,cement_179_CH,waste_274_CH
cement_179_CH-waste_410_CH,cement_179_CH,waste_410_CH
chemical_11_CH-cement_174_CH,chemical_11_CH,cement_174_CH
chemical_11_CH-cement_179_CH,chemical_11_CH,cement_179_CH
chemical_11_CH-waste_223_CH,chemical_11_CH,waste_223_CH
chemical_11_CH-waste_274_CH,chemical_11_CH,waste_274_CH
chemical_11_CH-waste_410_CH,chemical_11_CH,waste_410_CH
chemical_16_CH-cement_175_CH,chemical_16_CH,cement_175_CH
chemical_16_CH-cement_177_CH,chemical_16_CH,cement_177_CH
chemical_16_CH-trullikon_CH,chemical_16_CH,trullikon_CH
chemical_16_CH-waste_110_CH,chemical_16_CH,waste_110_CH
chemical_16_CH-waste_274_CH,chemical_16_CH,waste_274_CH
chemical_268_CH-energy_382_CH,chemical_268_CH,energy_382_CH
chemical_268_CH-waste_230_CH,chemical_268_CH,waste_230_CH
chemical_268_CH-waste_362_CH,chemical_268_CH,waste_362_CH
chemical_268_CH-waste_367_CH,chemical_268_CH,waste_367_CH
chemical_268_CH-waste_417_CH,chemical_268_CH,waste_417_CH
dortmund_DE-duisburg_DE,dortmund_DE,duisburg_DE
dortmund_DE-emmerich_DE,dortmund_DE,emmerich_DE
dortmund_DE-koeln_DE,dortmund_DE,koeln_DE
dortmund_DE-wilhelmshaven_DE,dortmund_DE,wilhelmshaven_DE
duisburg_DE-dortmund_DE,duisburg_DE,dortmund_DE
duisburg_DE-emmerich_DE,duisburg_DE,emmerich_DE
duisburg_DE-koeln_DE,duisburg_DE,koeln_DE
duisburg_DE-rotterdam_NL,duisburg_DE,rotterdam_NL
emmerich_DE-dortmund_DE,emmerich_DE,dortmund_DE
emmerich_DE-duisburg_DE,emmerich_DE,duisburg_DE
emmerich_DE-rotterdam_NL,emmerich_DE,rotterdam_NL
emmerich_DE-wilhelmshaven_DE,emmerich_DE,wilhelmshaven_DE
energy_344_CH-cement_176_CH,energy_344_CH,cement_176_CH
energy_344_CH-waste_278_CH,energy_344_CH,waste_278_CH
energy_344_CH-waste_362_CH,energy_344_CH,waste_362_CH
energy_344_CH-waste_417_CH,energy_344_CH,waste_417_CH
energy_382_CH-cement_177_CH,energy_382_CH,cement_177_CH
energy_382_CH-chemical_268_CH,energy_382_CH,chemical_268_CH
energy_382_CH-waste_110_CH,energy_382_CH,waste_110_CH
energy_382_CH-waste_367_CH,energy_382_CH,waste_367_CH
energy_382_CH-waste_410_CH,energy_382_CH,waste_410_CH
energy_382_CH-waste_417_CH,energy_382_CH,waste_417_CH
gernsheim_DE-karlsruhe_DE,gernsheim_DE,karlsruhe_DE
gernsheim_DE-koblenz_DE,gernsheim_DE,koblenz_DE
greensand_DK-aramis_NL,greensand_DK,aramis_NL
greensand_DK-bifrost_DK,greensand_DK,bifrost_DK
greensand_DK-havstjerne_NO,greensand_DK,havstjerne_NO
greensand_DK-norne_DK,greensand_DK,norne_DK
greensand_DK-poseidon_NO,greensand_DK,poseidon_NO
greensand_DK-wilhelmshaven_DE,greensand_DK,wilhelmshaven_DE
havstjerne_NO-bifrost_DK,havstjerne_NO,bifrost_DK
havstjerne_NO-greensand_DK,havstjerne_NO,greensand_DK
havstjerne_NO-luna_NO,havstjerne_NO,luna_NO
havstjerne_NO-northern_lights_NO,havstjerne_NO,northern_lights_NO
havstjerne_NO-poseidon_NO,havstjerne_NO,poseidon_NO
havstjerne_NO-trudvang_NO,havstjerne_NO,trudvang_NO
hewett_UK-orion_UK,hewett_UK,orion_UK
hewett_UK-porthos_NL,hewett_UK,porthos_NL
hewett_UK-poseidon_UK,hewett_UK,poseidon_UK
hewett_UK-viking_UK,hewett_UK,viking_UK
karlsruhe_DE-gernsheim_DE,karlsruhe_DE,gernsheim_DE
karlsruhe_DE-kehl_DE,karlsruhe_DE,kehl_DE
kehl_DE-karlsruhe_DE,kehl_DE,karlsruhe_DE
kehl_DE-waste_274_CH,kehl_DE,waste_274_CH
koblenz_DE-gernsheim_DE,koblenz_DE,gernsheim_DE
koblenz_DE-koeln_DE,koblenz_DE,koeln_DE
koeln_DE-dortmund_DE,koeln_DE,dortmund_DE
koeln_DE-duisburg_DE,koeln_DE,duisburg_DE
koeln_DE-koblenz_DE,koeln_DE,koblenz_DE
koeln_DE-rotterdam_NL,koeln_DE,rotterdam_NL
koeln_DE-zeebrugge_BE,koeln_DE,zeebrugge_BE
l10_area_NL-aramis_NL,l10_area_NL,aramis_NL
l10_area_NL-bifrost_DK,l10_area_NL,bifrost_DK
l10_area_NL-northern_endurance_UK,l10_area_NL,northern_endurance_UK
l10_area_NL-porthos_NL,l10_area_NL,porthos_NL
l10_area_NL-viking_UK,l10_area_NL,viking_UK
luna_NO-acorn_UK,luna_NO,acorn_UK
luna_NO-havstjerne_NO,luna_NO,havstjerne_NO
luna_NO-northern_lights_NO,luna_NO,northern_lights_NO
luna_NO-smeaheia_NO,luna_NO,smeaheia_NO
luna_NO-trudvang_NO,luna_NO,trudvang_NO
norne_DK-greensand_DK,norne_DK,greensand_DK
norne_DK-poseidon_NO,norne_DK,poseidon_NO
norne_DK-ruby_DK,norne_DK,ruby_DK
norne_DK-stenlille_DK,norne_DK,stenlille_DK
norne_DK-wilhelmshaven_DE,norne_DK,wilhelmshaven_DE
northern_endurance_UK-acorn_UK,northern_endurance_UK,acorn_UK
northern_endurance_UK-bifrost_DK,northern_endurance_UK,bifrost_DK
northern_endurance_UK-l10_area_NL,northern_endurance_UK,l10_area_NL
northern_endurance_UK-orion_UK,northern_endurance_UK,orion_UK
northern_endurance_UK-viking_UK,northern_endurance_UK,viking_UK
northern_lights_NO-havstjerne_NO,northern_lights_NO,havstjerne_NO
northern_lights_NO-luna_NO,northern_lights_NO,luna_NO
northern_lights_NO-poseidon_NO,northern_lights_NO,poseidon_NO
northern_lights_NO-smeaheia_NO,northern_lights_NO,smeaheia_NO
orion_UK-acorn_UK,orion_UK,acorn_UK
orion_UK-hewett_UK,orion_UK,hewett_UK
orion_UK-northern_endurance_UK,orion_UK,northern_endurance_UK
orion_UK-poseidon_UK,orion_UK,poseidon_UK
orion_UK-viking_UK,orion_UK,viking_UK
porthos_NL-aramis_NL,porthos_NL,aramis_NL
porthos_NL-hewett_UK,porthos_NL,hewett_UK
porthos_NL-l10_area_NL,porthos_NL,l10_area_NL
porthos_NL-poseidon_UK,porthos_NL,poseidon_UK
porthos_NL-rotterdam_NL,porthos_NL,rotterdam_NL
porthos_NL-viking_UK,porthos_NL,viking_UK
porthos_NL-zeebrugge_BE,porthos_NL,zeebrugge_BE
poseidon_NO-greensand_DK,poseidon_NO,greensand_DK
poseidon_NO-havstjerne_NO,poseidon_NO,havstjerne_NO
poseidon_NO-norne_DK,poseidon_NO,norne_DK
poseidon_NO-northern_lights_NO,poseidon_NO,northern_lights_NO
poseidon_UK-hewett_UK,poseidon_UK,hewett_UK
poseidon_UK-orion_UK,poseidon_UK,orion_UK
poseidon_UK-porthos_NL,poseidon_UK,porthos_NL
poseidon_UK-zeebrugge_BE,poseidon_UK,zeebrugge_BE
rotterdam_NL-acorn_UK,rotterdam_NL,acorn_UK
rotterdam_NL-aramis_NL,rotterdam_NL,aramis_NL
rotterdam_NL-bifrost_DK,rotterdam_NL,bifrost_DK
rotterdam_NL-coda_terminal_IS,rotterdam_NL,coda_terminal_IS
rotterdam_NL-duisburg_DE,rotterdam_NL,duisburg_DE
rotterdam_NL-emmerich_DE,rotterdam_NL,emmerich_DE
rotterdam_NL-greensand_DK,rotterdam_NL,greensand_DK
rotterdam_NL-havstjerne_NO,rotterdam_NL,havstjerne_NO
rotterdam_NL-hewett_UK,rotterdam_NL,hewett_UK
rotterdam_NL-koeln_DE,rotterdam_NL,koeln_DE
rotterdam_NL-l10_area_NL,rotterdam_NL,l10_area_NL
rotterdam_NL-luna_NO,rotterdam_NL,luna_NO
rotterdam_NL-norne_DK,rotterdam_NL,norne_DK
rotterdam_NL-northern_endurance_UK,rotterdam_NL,northern_endurance_UK
rotterdam_NL-northern_lights_NO,rotterdam_NL,northern_lights_NO
rotterdam_NL-orion_UK,rotterdam_NL,orion_UK
rotterdam_NL-porthos_NL,rotterdam_NL,porthos_NL
rotterdam_NL-poseidon_NO,rotterdam_NL,poseidon_NO
rotterdam_NL-poseidon_UK,rotterdam_NL,poseidon_UK
rotterdam_NL-ruby_DK,rotterdam_NL,ruby_DK
rotterdam_NL-smeaheia_NO,rotterdam_NL,smeaheia_NO
rotterdam_NL-stenlille_DK,rotterdam_NL,stenlille_DK
rotterdam_NL-trudvang_NO,rotterdam_NL,trudvang_NO
rotterdam_NL-viking_UK,rotterdam_NL,viking_UK
rotterdam_NL-wilhelmshaven_DE,rotterdam_NL,wilhelmshaven_DE
rotterdam_NL-zeebrugge_BE,rotterdam_NL,zeebrugge_BE
ruby_DK-norne_DK,ruby_DK,norne_DK
ruby_DK-stenlille_DK,ruby_DK,stenlille_DK
ruby_DK-wilhelmshaven_DE,ruby_DK,wilhelmshaven_DE
smeaheia_NO-luna_NO,smeaheia_NO,luna_NO
smeaheia_NO-northern_lights_NO,smeaheia_NO,northern_lights_NO
stenlille_DK-norne_DK,stenlille_DK,norne_DK
stenlille_DK-ruby_DK,stenlille_DK,ruby_DK
trudvang_NO-acorn_UK,trudvang_NO,acorn_UK
trudvang_NO-bifrost_DK,trudvang_NO,bifrost_DK
trudvang_NO-havstjerne_NO,trudvang_NO,havstjerne_NO
trudvang_NO-luna_NO,trudvang_NO,luna_NO
trullikon_CH-cement_175_CH,trullikon_CH,cement_175_CH
trullikon_CH-chemical_16_CH,trullikon_CH,chemical_16_CH
trullikon_CH-waste_274_CH,trullikon_CH,waste_274_CH
trullikon_CH-waste_283_CH,trullikon_CH,waste_283_CH
trullikon_CH-waste_286_CH,trullikon_CH,waste_286_CH
trullikon_CH-waste_287_CH,trullikon_CH,waste_287_CH
trullikon_CH-waste_290_CH,trullikon_CH,waste_290_CH
viking_UK-hewett_UK,viking_UK,hewett_UK
viking_UK-l10_area_NL,viking_UK,l10_area_NL
viking_UK-northern_endurance_UK,viking_UK,northern_endurance_UK
viking_UK-orion_UK,viking_UK,orion_UK
viking_UK-porthos_NL,viking_UK,porthos_NL
waste_110_CH-cement_177_CH,waste_110_CH,cement_177_CH
waste_110_CH-cement_179_CH,waste_110_CH,cement_179_CH
waste_110_CH-chemical_16_CH,waste_110_CH,chemical_16_CH
waste_110_CH-energy_382_CH,waste_110_CH,energy_382_CH
waste_110_CH-waste_274_CH,waste_110_CH,waste_274_CH
waste_110_CH-waste_410_CH,waste_110_CH,waste_410_CH
waste_206_CH-cement_174_CH,waste_206_CH,cement_174_CH
waste_206_CH-waste_227_CH,waste_206_CH,waste_227_CH
waste_206_CH-waste_230_CH,waste_206_CH,waste_230_CH
waste_223_CH-cement_174_CH,waste_223_CH,cement_174_CH
waste_223_CH-chemical_11_CH,waste_223_CH,chemical_11_CH
waste_223_CH-waste_227_CH,waste_223_CH,waste_227_CH
waste_223_CH-waste_230_CH,waste_223_CH,waste_230_CH
waste_223_CH-waste_367_CH,waste_223_CH,waste_367_CH
waste_223_CH-waste_410_CH,waste_223_CH,waste_410_CH
waste_227_CH-cement_174_CH,waste_227_CH,cement_174_CH
waste_227_CH-waste_206_CH,waste_227_CH,waste_206_CH
waste_227_CH-waste_223_CH,waste_227_CH,waste_223_CH
waste_227_CH-waste_230_CH,waste_227_CH,waste_230_CH
