super_edge,edge
offshore,acorn_UK-bifrost_DK
offshore,acorn_UK-luna_NO
offshore,acorn_UK-northern_endurance_UK
offshore,acorn_UK-orion_UK
offshore,acorn_UK-trudvang_NO
offshore,aramis_NL-bifrost_DK
offshore,aramis_NL-greensand_DK
offshore,aramis_NL-l10_area_NL
offshore,aramis_NL-porthos_NL
offshore,aramis_NL-rotterdam_NL
offshore,aramis_NL-wilhelmshaven_DE
offshore,bifrost_DK-acorn_UK
offshore,bifrost_DK-aramis_NL
offshore,bifrost_DK-greensand_DK
offshore,bifrost_DK-havstjerne_NO
offshore,bifrost_DK-l10_area_NL
offshore,bifrost_DK-northern_endurance_UK
offshore,bifrost_DK-trudvang_NO
CH,cement_174_CH-chemical_11_CH
CH,cement_174_CH-waste_206_CH
CH,cement_174_CH-waste_223_CH
CH,cement_174_CH-waste_227_CH
CH,cement_175_CH-cement_177_CH
CH,cement_175_CH-chemical_16_CH
CH,cement_175_CH-trullikon_CH
CH,cement_175_CH-waste_290_CH
CH,cement_176_CH-energy_344_CH
CH,cement_176_CH-waste_278_CH
CH,cement_176_CH-waste_280_CH
CH,cement_176_CH-waste_362_CH
CH,cement_177_CH-cement_175_CH
CH,cement_177_CH-chemical_16_CH
CH,cement_177_CH-energy_382_CH
CH,cement_177_CH-waste_110_CH
CH,cement_177_CH-waste_290_CH
CH,cement_177_CH-waste_417_CH
CH,cement_179_CH-chemical_11_CH
CH,cement_179_CH-waste_110_CH
CH,cement_179_CH-waste_274_CH
CH,cement_179_CH-waste_410_CH
CH,chemical_11_CH-cement_174_CH
CH,chemical_11_CH-cement_179_CH
CH,chemical_11_CH-waste_223_CH
CH,chemical_11_CH-waste_274_CH
CH,chemical_11_CH-waste_410_CH
CH,chemical_16_CH-cement_175_CH
CH,chemical_16_CH-cement_177_CH
CH,chemical_16_CH-trullikon_CH
CH,chemical_16_CH-waste_110_CH
CH,chemical_16_CH-waste_274_CH
CH,chemical_268_CH-energy_382_CH
CH,chemical_268_CH-waste_230_CH
CH,chemical_268_CH-waste_362_CH
