node,availability_export_total
acorn_UK,240
aramis_NL,400
bifrost_DK,125
bockovac_HR,450
coda_terminal_IS,64
galata_BG,30
greensand_DK,500
havstjerne_NO,200
hewett_UK,300
hynet_UK,130
l10_area_NL,150
luna_NO,120
norne_DK,630
northern_endurance_UK,450
northern_lights_NO,100
orion_UK,126
polaris_NO,100
porthos_NL,37
poseidon_NO,100
poseidon_UK,935
prinos_GR,100
pycasso_FR,435
ravenna_hub_IT,500
ruby_DK,152
smeaheia_NO,500
spirit_morecambe_UK,1000
stenlille_DK,10
trudvang_NO,225
trullikon_CH,50
viking_UK,300
