year,cement,chemical,energy,waste
2020,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2021,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2022,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2023,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2024,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2025,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2026,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2027,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2028,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2029,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2030,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2031,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2032,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2033,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2034,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2035,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2036,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2037,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2038,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2039,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2040,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2041,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2042,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2043,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2044,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2045,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2046,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2047,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2048,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2049,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2050,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2051,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2052,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2053,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2054,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2055,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2056,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2057,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2058,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2059,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
2060,2568.0600256806006,449.6580044965801,673.2000067320001,4024.152040241521
