year,capex_specific_conversion
2021,60.53
2022,59.04805862068966
2023,57.56611724137931
2024,56.08417586206897
2025,54.60223448275862
2026,53.120293103448276
2027,51.638351724137934
2028,50.15641034482759
2029,48.67446896551724
2030,47.19252758620689
2031,45.71058620689655
2032,44.22864482758621
2033,42.746703448275866
2034,41.26476206896552
2035,39.782820689655175
2036,38.300879310344826
2037,36.81893793103448
2038,35.33699655172414
2039,33.85505517241379
2040,32.37311379310345
2041,30.891172413793104
2042,29.409231034482758
2043,27.927289655172416
2044,26.445348275862067
2045,24.963406896551724
2046,23.481465517241382
2047,21.999524137931033
2048,20.51758275862069
2049,19.03564137931035
2050,17.5537
