year,opex_specific_variable
2021,1.0
2022,0.9755172413793104
2023,0.9510344827586207
2024,0.9265517241379311
2025,0.9020689655172414
2026,0.8775862068965518
2027,0.8531034482758622
2028,0.8286206896551724
2029,0.8041379310344827
2030,0.7796551724137931
2031,0.7551724137931035
2032,0.7306896551724138
2033,0.7062068965517242
2034,0.6817241379310346
2035,0.6572413793103449
2036,0.6327586206896552
2037,0.6082758620689656
2038,0.583793103448276
2039,0.5593103448275862
2040,0.5348275862068965
2041,0.5103448275862069
2042,0.4858620689655173
2043,0.4613793103448276
2044,0.436896551724138
2045,0.4124137931034484
2046,0.3879310344827587
2047,0.36344827586206907
2048,0.33896551724137935
2049,0.31448275862068975
2050,0.29000000000000004
