node,co2_biogenic,co2_fossil,flue_gas
cement_174_CH,0.15,0.85,1
cement_175_CH,0.15,0.85,1
cement_176_CH,0.15,0.85,1
cement_177_CH,0.15,0.85,1
cement_179_CH,0.15,0.85,1
energy_344_CH,1.0,0.0,1
waste_110_CH,0.5,0.5,1
waste_206_CH,0.5,0.5,1
waste_223_CH,0.5,0.5,1
waste_227_CH,0.5,0.5,1
waste_230_CH,0.5,0.5,1
waste_274_CH,0.5,0.5,1
waste_278_CH,0.5,0.5,1
waste_280_CH,0.5,0.5,1
waste_282_CH,0.5,0.5,1
waste_283_CH,0.5,0.5,1
waste_286_CH,0.5,0.5,1
waste_287_CH,0.5,0.5,1
waste_289_CH,0.5,0.5,1
waste_290_CH,0.5,0.5,1
waste_362_CH,0.5,0.5,1
waste_367_CH,0.5,0.5,1
waste_410_CH,0.5,0.5,1
waste_417_CH,0.5,0.5,1
