edge,opex_specific_fixed
acorn_UK-bifrost_DK,0
acorn_UK-luna_NO,0
acorn_UK-northern_endurance_UK,0
acorn_UK-spirit_morecambe_UK,0
acorn_UK-trudvang_NO,0
aramis_NL-bifrost_DK,0
aramis_NL-greensand_DK,0
aramis_NL-l10_area_NL,0
aramis_NL-porthos_NL,0
aramis_NL-wilhelmshaven_DE,0
aramis_NL-rotterdam_NL,0
bifrost_DK-greensand_DK,0
bifrost_DK-havstjerne_NO,0
bifrost_DK-l10_area_NL,0
bifrost_DK-northern_endurance_UK,0
bifrost_DK-trudvang_NO,0
greensand_DK-havstjerne_NO,0
greensand_DK-norne_DK,0
greensand_DK-poseidon_NO,0
greensand_DK-wilhelmshaven_DE,0
havstjerne_NO-luna_NO,0
havstjerne_NO-northern_lights_NO,0
havstjerne_NO-poseidon_NO,0
havstjerne_NO-trudvang_NO,0
hewett_UK-orion_UK,0
hewett_UK-porthos_NL,0
hewett_UK-viking_UK,0
hewett_UK-poseidon_UK,0
hynet_UK-northern_endurance_UK,0
hynet_UK-orion_UK,0
hynet_UK-spirit_morecambe_UK,0
hynet_UK-poseidon_UK,0
hynet_UK-zeebrugge_BE,0
l10_area_NL-northern_endurance_UK,0
l10_area_NL-porthos_NL,0
l10_area_NL-viking_UK,0
luna_NO-northern_lights_NO,0
luna_NO-smeaheia_NO,0
luna_NO-trudvang_NO,0
norne_DK-poseidon_NO,0
norne_DK-ruby_DK,0
norne_DK-stenlille_DK,0
norne_DK-wilhelmshaven_DE,0
northern_endurance_UK-orion_UK,0
northern_endurance_UK-spirit_morecambe_UK,0
northern_endurance_UK-viking_UK,0
northern_lights_NO-poseidon_NO,0
northern_lights_NO-smeaheia_NO,0
orion_UK-viking_UK,0
orion_UK-poseidon_UK,0
porthos_NL-viking_UK,0
porthos_NL-poseidon_UK,0
porthos_NL-zeebrugge_BE,0
porthos_NL-rotterdam_NL,0
ruby_DK-stenlille_DK,0
ruby_DK-wilhelmshaven_DE,0
poseidon_UK-zeebrugge_BE,0
zeebrugge_BE-rotterdam_NL,0
wilhelmshaven_DE-rotterdam_NL,0
bifrost_DK-acorn_UK,0
luna_NO-acorn_UK,0
northern_endurance_UK-acorn_UK,0
spirit_morecambe_UK-acorn_UK,0
trudvang_NO-acorn_UK,0
bifrost_DK-aramis_NL,0
greensand_DK-aramis_NL,0
l10_area_NL-aramis_NL,0
porthos_NL-aramis_NL,0
wilhelmshaven_DE-aramis_NL,0
rotterdam_NL-aramis_NL,0
greensand_DK-bifrost_DK,0
havstjerne_NO-bifrost_DK,0
l10_area_NL-bifrost_DK,0
northern_endurance_UK-bifrost_DK,0
trudvang_NO-bifrost_DK,0
havstjerne_NO-greensand_DK,0
norne_DK-greensand_DK,0
poseidon_NO-greensand_DK,0
wilhelmshaven_DE-greensand_DK,0
luna_NO-havstjerne_NO,0
northern_lights_NO-havstjerne_NO,0
poseidon_NO-havstjerne_NO,0
trudvang_NO-havstjerne_NO,0
orion_UK-hewett_UK,0
porthos_NL-hewett_UK,0
viking_UK-hewett_UK,0
poseidon_UK-hewett_UK,0
northern_endurance_UK-hynet_UK,0
orion_UK-hynet_UK,0
spirit_morecambe_UK-hynet_UK,0
poseidon_UK-hynet_UK,0
zeebrugge_BE-hynet_UK,0
northern_endurance_UK-l10_area_NL,0
porthos_NL-l10_area_NL,0
viking_UK-l10_area_NL,0
northern_lights_NO-luna_NO,0
smeaheia_NO-luna_NO,0
trudvang_NO-luna_NO,0
poseidon_NO-norne_DK,0
ruby_DK-norne_DK,0
stenlille_DK-norne_DK,0
wilhelmshaven_DE-norne_DK,0
orion_UK-northern_endurance_UK,0
spirit_morecambe_UK-northern_endurance_UK,0
viking_UK-northern_endurance_UK,0
poseidon_NO-northern_lights_NO,0
smeaheia_NO-northern_lights_NO,0
viking_UK-orion_UK,0
poseidon_UK-orion_UK,0
viking_UK-porthos_NL,0
poseidon_UK-porthos_NL,0
zeebrugge_BE-porthos_NL,0
rotterdam_NL-porthos_NL,0
stenlille_DK-ruby_DK,0
wilhelmshaven_DE-ruby_DK,0
zeebrugge_BE-poseidon_UK,0
rotterdam_NL-zeebrugge_BE,0
rotterdam_NL-wilhelmshaven_DE,0
