edge,capacity_limit
cement_174_CH-chemical_11_CH,inf
cement_174_CH-waste_206_CH,inf
cement_174_CH-waste_223_CH,inf
cement_174_CH-waste_227_CH,inf
cement_175_CH-cement_177_CH,inf
cement_175_CH-chemical_16_CH,inf
cement_175_CH-trullikon_CH,inf
cement_175_CH-waste_290_CH,inf
cement_176_CH-energy_344_CH,inf
cement_176_CH-waste_278_CH,inf
cement_176_CH-waste_280_CH,inf
cement_176_CH-waste_362_CH,inf
cement_177_CH-cement_175_CH,inf
cement_177_CH-chemical_16_CH,inf
cement_177_CH-energy_382_CH,inf
cement_177_CH-waste_110_CH,inf
cement_177_CH-waste_290_CH,inf
cement_177_CH-waste_417_CH,inf
cement_179_CH-chemical_11_CH,inf
cement_179_CH-waste_110_CH,inf
cement_179_CH-waste_274_CH,inf
cement_179_CH-waste_410_CH,inf
chemical_11_CH-cement_174_CH,inf
chemical_11_CH-cement_179_CH,inf
chemical_11_CH-waste_223_CH,inf
chemical_11_CH-waste_274_CH,inf
chemical_11_CH-waste_410_CH,inf
chemical_16_CH-cement_175_CH,inf
chemical_16_CH-cement_177_CH,inf
chemical_16_CH-trullikon_CH,inf
chemical_16_CH-waste_110_CH,inf
chemical_16_CH-waste_274_CH,inf
chemical_268_CH-energy_382_CH,inf
chemical_268_CH-waste_230_CH,inf
chemical_268_CH-waste_362_CH,inf
chemical_268_CH-waste_367_CH,inf
chemical_268_CH-waste_417_CH,inf
dortmund_DE-duisburg_DE,inf
dortmund_DE-emmerich_DE,inf
dortmund_DE-koeln_DE,inf
dortmund_DE-wilhelmshaven_DE,inf
duisburg_DE-dortmund_DE,inf
duisburg_DE-emmerich_DE,inf
duisburg_DE-koeln_DE,inf
duisburg_DE-rotterdam_NL,inf
emmerich_DE-dortmund_DE,inf
emmerich_DE-duisburg_DE,inf
emmerich_DE-rotterdam_NL,inf
emmerich_DE-wilhelmshaven_DE,inf
energy_344_CH-cement_176_CH,inf
energy_344_CH-waste_278_CH,inf
energy_344_CH-waste_362_CH,inf
energy_344_CH-waste_417_CH,inf
energy_382_CH-cement_177_CH,inf
energy_382_CH-chemical_268_CH,inf
energy_382_CH-waste_110_CH,inf
energy_382_CH-waste_367_CH,inf
energy_382_CH-waste_410_CH,inf
energy_382_CH-waste_417_CH,inf
gernsheim_DE-karlsruhe_DE,inf
gernsheim_DE-koblenz_DE,inf
karlsruhe_DE-gernsheim_DE,inf
karlsruhe_DE-kehl_DE,inf
kehl_DE-karlsruhe_DE,inf
kehl_DE-waste_274_CH,inf
koblenz_DE-gernsheim_DE,inf
koblenz_DE-koeln_DE,inf
koeln_DE-dortmund_DE,inf
koeln_DE-duisburg_DE,inf
koeln_DE-koblenz_DE,inf
koeln_DE-rotterdam_NL,inf
koeln_DE-zeebrugge_BE,inf
rotterdam_NL-duisburg_DE,inf
rotterdam_NL-emmerich_DE,inf
rotterdam_NL-koeln_DE,inf
rotterdam_NL-wilhelmshaven_DE,inf
rotterdam_NL-zeebrugge_BE,inf
trullikon_CH-cement_175_CH,inf
trullikon_CH-chemical_16_CH,inf
trullikon_CH-waste_274_CH,inf
trullikon_CH-waste_283_CH,inf
