edge,carbon_intensity_technology
cement_174_CH-chemical_11_CH,0.1227595973038808
cement_174_CH-waste_206_CH,0.140078360424591
cement_174_CH-waste_223_CH,0.09936464730977276
cement_174_CH-waste_227_CH,0.03443189107628546
cement_175_CH-cement_177_CH,0.0290457670114345
cement_175_CH-chemical_16_CH,0.04295634401673942
cement_175_CH-trullikon_CH,0.0817920378200921
cement_175_CH-waste_290_CH,0.0368514798857124
cement_176_CH-energy_344_CH,0.03014385906333392
cement_176_CH-waste_278_CH,0.09966692187073191
cement_176_CH-waste_280_CH,0.06360659170007808
cement_176_CH-waste_362_CH,0.2018240974388656
cement_177_CH-cement_175_CH,0.0290457670114345
cement_177_CH-chemical_16_CH,0.04326905164628517
cement_177_CH-energy_382_CH,0.08537996991945217
cement_177_CH-waste_110_CH,0.1073150396417455
cement_177_CH-waste_290_CH,0.04026388954485512
cement_177_CH-waste_417_CH,0.08089234829524475
cement_179_CH-chemical_11_CH,0.04942614968077183
cement_179_CH-waste_110_CH,0.0532625966254569
cement_179_CH-waste_274_CH,0.1027601998752483
cement_179_CH-waste_410_CH,0.06236099110300421
chemical_11_CH-cement_174_CH,0.1227595973038808
chemical_11_CH-cement_179_CH,0.04942614968077183
chemical_11_CH-waste_223_CH,0.065914841397431
chemical_11_CH-waste_274_CH,0.1512844655833324
chemical_11_CH-waste_410_CH,0.06589819918851933
chemical_16_CH-cement_175_CH,0.04295634401673942
chemical_16_CH-cement_177_CH,0.04326905164628517
chemical_16_CH-trullikon_CH,0.1210878594043855
chemical_16_CH-waste_110_CH,0.1041211137922732
chemical_16_CH-waste_274_CH,0.06447396671466962
chemical_268_CH-energy_382_CH,0.1872226663715376
chemical_268_CH-waste_230_CH,0.1551166899167074
chemical_268_CH-waste_362_CH,0.1864645422523404
chemical_268_CH-waste_367_CH,0.1213901445861743
chemical_268_CH-waste_417_CH,0.212374579595931
dortmund_DE-duisburg_DE,0.4601863517151835
dortmund_DE-emmerich_DE,0.8068576330974615
dortmund_DE-koeln_DE,0.6283882929256912
dortmund_DE-wilhelmshaven_DE,2.140804544952627
duisburg_DE-dortmund_DE,0.4601863517151835
duisburg_DE-emmerich_DE,0.512798029149894
duisburg_DE-koeln_DE,0.4862427348452734
duisburg_DE-rotterdam_NL,1.547230527781248
emmerich_DE-dortmund_DE,0.8068576330974615
emmerich_DE-duisburg_DE,0.512798029149894
emmerich_DE-rotterdam_NL,1.165603103334706
emmerich_DE-wilhelmshaven_DE,2.136727217863832
energy_344_CH-cement_176_CH,0.03014385906333392
energy_344_CH-waste_278_CH,0.09766835549236766
energy_344_CH-waste_362_CH,0.1731909282953743
energy_344_CH-waste_417_CH,0.1862735455727436
energy_382_CH-cement_177_CH,0.08537996991945217
energy_382_CH-chemical_268_CH,0.1872226663715376
energy_382_CH-waste_110_CH,0.09333231746577766
energy_382_CH-waste_367_CH,0.1079400108147002
energy_382_CH-waste_410_CH,0.1149159122376643
energy_382_CH-waste_417_CH,0.04826521190288122
gernsheim_DE-karlsruhe_DE,0.7597729247648858
gernsheim_DE-koblenz_DE,0.8672523119269807
karlsruhe_DE-gernsheim_DE,0.7597729247648858
karlsruhe_DE-kehl_DE,0.545154661831762
kehl_DE-karlsruhe_DE,0.545154661831762
kehl_DE-waste_274_CH,1.066138773585877
koblenz_DE-gernsheim_DE,0.8672523119269807
koblenz_DE-koeln_DE,0.7023407267824884
koeln_DE-dortmund_DE,0.6283882929256912
koeln_DE-duisburg_DE,0.4862427348452734
koeln_DE-koblenz_DE,0.7023407267824884
koeln_DE-rotterdam_NL,1.895710784396358
koeln_DE-zeebrugge_BE,2.464905474136535
rotterdam_NL-duisburg_DE,1.706394387508225
rotterdam_NL-emmerich_DE,1.285508886930209
rotterdam_NL-koeln_DE,2.090722865629827
rotterdam_NL-wilhelmshaven_DE,3.17607809803352
rotterdam_NL-zeebrugge_BE,1.042811289119222
trullikon_CH-cement_175_CH,0.0817920378200921
trullikon_CH-chemical_16_CH,0.1210878594043855
trullikon_CH-waste_274_CH,0.1847856206578543
trullikon_CH-waste_283_CH,0.07291208374156562
trullikon_CH-waste_286_CH,0.05954438483527622
trullikon_CH-waste_287_CH,0.03530347149723067
trullikon_CH-waste_290_CH,0.07361931011821875
waste_110_CH-cement_177_CH,0.1073150396417455
waste_110_CH-cement_179_CH,0.0532625966254569
waste_110_CH-chemical_16_CH,0.1041211137922732
waste_110_CH-energy_382_CH,0.09333231746577766
waste_110_CH-waste_274_CH,0.07975747226195065
waste_110_CH-waste_410_CH,0.06847994200828254
waste_206_CH-cement_174_CH,0.140078360424591
waste_206_CH-waste_227_CH,0.1290521105798
waste_206_CH-waste_230_CH,0.1563922920075421
waste_223_CH-cement_174_CH,0.09936464730977276
waste_223_CH-chemical_11_CH,0.065914841397431
waste_223_CH-waste_227_CH,0.09932193619267442
waste_223_CH-waste_230_CH,0.1218889653426679
waste_223_CH-waste_367_CH,0.08023654972693255
waste_223_CH-waste_410_CH,0.06463495271098077
waste_227_CH-cement_174_CH,0.03443189107628546
waste_227_CH-waste_206_CH,0.1290521105798
waste_227_CH-waste_223_CH,0.09932193619267442
waste_227_CH-waste_230_CH,0.0804705548226732
waste_230_CH-chemical_268_CH,0.1551166899167074
waste_230_CH-waste_206_CH,0.1563922920075421
waste_230_CH-waste_223_CH,0.1218889653426679
waste_230_CH-waste_227_CH,0.0804705548226732
waste_230_CH-waste_367_CH,0.1583238405637699
waste_274_CH-cement_179_CH,0.1027601998752483
waste_274_CH-chemical_11_CH,0.1512844655833324
waste_274_CH-chemical_16_CH,0.06447396671466962
waste_274_CH-kehl_DE,0.2531147577324752
waste_274_CH-trullikon_CH,0.1847856206578543
waste_274_CH-waste_110_CH,0.07975747226195065
waste_278_CH-cement_176_CH,0.09966692187073191
waste_278_CH-energy_344_CH,0.09766835549236766
waste_278_CH-waste_280_CH,0.07356003089066432
waste_278_CH-waste_282_CH,0.06951249689811785
waste_278_CH-waste_289_CH,0.05509765406068035
waste_278_CH-waste_417_CH,0.1093186299953515
waste_280_CH-cement_176_CH,0.06360659170007808
waste_280_CH-waste_278_CH,0.07356003089066432
waste_280_CH-waste_282_CH,0.09045198511451086
waste_280_CH-waste_283_CH,0.1078863787187646
waste_282_CH-waste_278_CH,0.06951249689811785
waste_282_CH-waste_280_CH,0.09045198511451086
waste_282_CH-waste_283_CH,0.03422659464013507
waste_282_CH-waste_287_CH,0.05469649308224653
waste_282_CH-waste_289_CH,0.04911818383528318
waste_283_CH-trullikon_CH,0.07291208374156562
waste_283_CH-waste_280_CH,0.1078863787187646
waste_283_CH-waste_282_CH,0.03422659464013507
waste_283_CH-waste_287_CH,0.06454637308170806
waste_286_CH-trullikon_CH,0.05954438483527622
waste_286_CH-waste_287_CH,0.03666052969635729
waste_286_CH-waste_289_CH,0.04895825764691464
waste_286_CH-waste_290_CH,0.02654161315283702
waste_286_CH-waste_417_CH,0.07868676756265118
waste_287_CH-trullikon_CH,0.03530347149723067
waste_287_CH-waste_282_CH,0.05469649308224653
waste_287_CH-waste_283_CH,0.06454637308170806
waste_287_CH-waste_286_CH,0.03666052969635729
waste_287_CH-waste_289_CH,0.04701544407321405
waste_289_CH-waste_278_CH,0.05509765406068035
waste_289_CH-waste_282_CH,0.04911818383528318
waste_289_CH-waste_286_CH,0.04895825764691464
waste_289_CH-waste_287_CH,0.04701544407321405
waste_289_CH-waste_417_CH,0.08671994379009981
waste_290_CH-cement_175_CH,0.0368514798857124
waste_290_CH-cement_177_CH,0.04026388954485512
waste_290_CH-trullikon_CH,0.07361931011821875
waste_290_CH-waste_286_CH,0.02654161315283702
waste_290_CH-waste_417_CH,0.07303670583757264
waste_362_CH-cement_176_CH,0.2018240974388656
waste_362_CH-chemical_268_CH,0.1864645422523404
waste_362_CH-energy_344_CH,0.1731909282953743
waste_367_CH-chemical_268_CH,0.1213901445861743
waste_367_CH-energy_382_CH,0.1079400108147002
waste_367_CH-waste_223_CH,0.08023654972693255
waste_367_CH-waste_230_CH,0.1583238405637699
waste_367_CH-waste_410_CH,0.05557498676518287
waste_410_CH-cement_179_CH,0.06236099110300421
waste_410_CH-chemical_11_CH,0.06589819918851933
waste_410_CH-energy_382_CH,0.1149159122376643
waste_410_CH-waste_110_CH,0.06847994200828254
waste_410_CH-waste_223_CH,0.06463495271098077
waste_410_CH-waste_367_CH,0.05557498676518287
waste_417_CH-cement_177_CH,0.08089234829524475
waste_417_CH-chemical_268_CH,0.212374579595931
waste_417_CH-energy_344_CH,0.1862735455727436
waste_417_CH-energy_382_CH,0.04826521190288122
waste_417_CH-waste_278_CH,0.1093186299953515
waste_417_CH-waste_286_CH,0.07868676756265118
waste_417_CH-waste_289_CH,0.08671994379009981
waste_417_CH-waste_290_CH,0.07303670583757264
wilhelmshaven_DE-dortmund_DE,2.140804544952627
wilhelmshaven_DE-emmerich_DE,2.136727217863832
wilhelmshaven_DE-rotterdam_NL,2.879829556325927
wilhelmshaven_DE-zeebrugge_BE,3.824362482354654
zeebrugge_BE-koeln_DE,1.433292425936792
zeebrugge_BE-rotterdam_NL,0.5498140989739465
zeebrugge_BE-wilhelmshaven_DE,2.223789040801217
