edge,opex_specific_fixed
paper_121_CH-chemical_16_CH,0
paper_121_CH-waste_367_CH,0
paper_121_CH-waste_136_CH,0
paper_121_CH-waste_231_CH,0
paper_121_CH-waste_274_CH,0
paper_121_CH-waste_110_CH,0
paper_121_CH-waste_417_CH,0
waste_368_CH-waste_367_CH,0
waste_368_CH-waste_410_CH,0
waste_368_CH-waste_110_CH,0
waste_368_CH-energy_11_CH,0
waste_368_CH-cement_179_CH,0
waste_306_CH-chemical_16_CH,0
waste_306_CH-waste_136_CH,0
waste_306_CH-waste_274_CH,0
waste_306_CH-energy_11_CH,0
waste_306_CH-cement_179_CH,0
waste_285_CH-waste_290_CH,0
waste_285_CH-waste_289_CH,0
waste_285_CH-waste_286_CH,0
waste_285_CH-waste_417_CH,0
chemical_187_CH-waste_367_CH,0
chemical_187_CH-waste_115_CH,0
chemical_187_CH-chemical_435_CH,0
chemical_187_CH-waste_230_CH,0
chemical_187_CH-chemical_268_CH,0
chemical_16_CH-waste_136_CH,0
chemical_16_CH-waste_231_CH,0
chemical_16_CH-waste_283_CH,0
chemical_16_CH-cement_177_CH,0
chemical_16_CH-cement_175_CH,0
waste_290_CH-waste_270_CH,0
waste_290_CH-waste_286_CH,0
waste_290_CH-waste_417_CH,0
waste_290_CH-cement_177_CH,0
waste_290_CH-cement_175_CH,0
waste_223_CH-waste_367_CH,0
waste_223_CH-cement_178_CH,0
waste_223_CH-waste_230_CH,0
waste_223_CH-waste_410_CH,0
waste_223_CH-waste_227_CH,0
waste_223_CH-cement_174_CH,0
waste_278_CH-waste_282_CH,0
waste_278_CH-waste_280_CH,0
waste_278_CH-energy_344_CH,0
waste_278_CH-waste_289_CH,0
waste_278_CH-waste_417_CH,0
waste_278_CH-cement_176_CH,0
waste_367_CH-chemical_435_CH,0
waste_367_CH-waste_230_CH,0
waste_367_CH-waste_410_CH,0
waste_367_CH-waste_110_CH,0
waste_367_CH-waste_417_CH,0
waste_279_CH-waste_362_CH,0
waste_279_CH-waste_280_CH,0
waste_279_CH-energy_344_CH,0
waste_279_CH-cement_176_CH,0
waste_282_CH-waste_280_CH,0
waste_282_CH-waste_289_CH,0
waste_282_CH-waste_287_CH,0
waste_282_CH-waste_283_CH,0
waste_270_CH-cement_177_CH,0
waste_270_CH-cement_175_CH,0
waste_136_CH-waste_274_CH,0
waste_115_CH-waste_230_CH,0
waste_115_CH-chemical_268_CH,0
waste_115_CH-waste_227_CH,0
waste_115_CH-waste_206_CH,0
waste_231_CH-waste_417_CH,0
waste_231_CH-cement_177_CH,0
cement_178_CH-waste_410_CH,0
cement_178_CH-energy_11_CH,0
cement_178_CH-cement_174_CH,0
chemical_435_CH-waste_362_CH,0
chemical_435_CH-chemical_268_CH,0
chemical_435_CH-waste_417_CH,0
waste_230_CH-waste_227_CH,0
