edge,distance
rotterdam_NL-acorn_UK,1350.754338439946
rotterdam_NL-aramis_NL,325.1238596358576
rotterdam_NL-bifrost_DK,891.7137139054153
rotterdam_NL-coda_terminal_IS,3658.366493542627
rotterdam_NL-greensand_DK,966.4573704912938
rotterdam_NL-havstjerne_NO,1182.199285318366
rotterdam_NL-hewett_UK,389.7046529878769
rotterdam_NL-l10_area_NL,303.1137862343521
rotterdam_NL-luna_NO,1720.569807153289
rotterdam_NL-norne_DK,1135.580172091886
rotterdam_NL-northern_endurance_UK,630.0605963114937
rotterdam_NL-northern_lights_NO,1732.516157495188
rotterdam_NL-orion_UK,576.0451284570057
rotterdam_NL-porthos_NL,73.53828039663637
rotterdam_NL-poseidon_NO,1168.076731468209
rotterdam_NL-poseidon_UK,409.9612766464757
rotterdam_NL-ruby_DK,1009.515041950831
rotterdam_NL-smeaheia_NO,1754.508092829964
rotterdam_NL-stenlille_DK,1127.080421309012
rotterdam_NL-trudvang_NO,1324.114704226899
rotterdam_NL-viking_UK,399.8897276850762
wilhelmshaven_DE-acorn_UK,1384.623984149248
wilhelmshaven_DE-aramis_NL,387.773761170589
wilhelmshaven_DE-bifrost_DK,709.2467710847558
wilhelmshaven_DE-coda_terminal_IS,3702.212659493416
wilhelmshaven_DE-greensand_DK,699.6205534870343
wilhelmshaven_DE-havstjerne_NO,930.1359787189854
wilhelmshaven_DE-hewett_UK,770.5199296630075
wilhelmshaven_DE-l10_area_NL,472.7975372630071
wilhelmshaven_DE-luna_NO,1477.112013542443
wilhelmshaven_DE-norne_DK,624.0136082290544
wilhelmshaven_DE-northern_endurance_UK,861.8036972448936
wilhelmshaven_DE-northern_lights_NO,1435.091431783282
wilhelmshaven_DE-orion_UK,896.4355768149023
wilhelmshaven_DE-porthos_NL,593.4391406352504
wilhelmshaven_DE-poseidon_NO,900.8024503027109
wilhelmshaven_DE-poseidon_UK,817.047418275369
wilhelmshaven_DE-ruby_DK,442.4358772389446
wilhelmshaven_DE-smeaheia_NO,1480.448919123955
wilhelmshaven_DE-stenlille_DK,563.2642035823732
wilhelmshaven_DE-trudvang_NO,1181.849753931998
wilhelmshaven_DE-viking_UK,694.5155697317996
zeebrugge_BE-acorn_UK,1381.423158337966
zeebrugge_BE-aramis_NL,476.9903961323989
zeebrugge_BE-bifrost_DK,1008.73904420298
zeebrugge_BE-coda_terminal_IS,3653.195347015271
zeebrugge_BE-greensand_DK,1098.530081453023
zeebrugge_BE-havstjerne_NO,1301.82778166587
zeebrugge_BE-hewett_UK,374.5072565861364
zeebrugge_BE-l10_area_NL,429.4297889242723
zeebrugge_BE-luna_NO,1824.297060571016
zeebrugge_BE-norne_DK,1310.790961338219
zeebrugge_BE-northern_endurance_UK,641.7293748032325
zeebrugge_BE-northern_lights_NO,1850.628805886408
zeebrugge_BE-orion_UK,553.8146976894609
zeebrugge_BE-porthos_NL,176.1351339313571
zeebrugge_BE-poseidon_NO,1291.883957457553
zeebrugge_BE-poseidon_UK,370.7664728000667
zeebrugge_BE-ruby_DK,1196.100824911408
zeebrugge_BE-smeaheia_NO,1866.001643861438
zeebrugge_BE-stenlille_DK,1312.06183776996
zeebrugge_BE-trudvang_NO,1409.75051672422
zeebrugge_BE-viking_UK,432.3837910189439
