edge,opex_specific_variable
rotterdam_NL-acorn_UK,81.04526030639678
rotterdam_NL-aramis_NL,19.50743157815145
rotterdam_NL-bifrost_DK,53.50282283432492
rotterdam_NL-coda_terminal_IS,219.5019896125576
rotterdam_NL-greensand_DK,57.98744222947762
rotterdam_NL-havstjerne_NO,70.93195711910198
rotterdam_NL-hewett_UK,23.38227917927261
rotterdam_NL-l10_area_NL,18.18682717406112
rotterdam_NL-luna_NO,103.2341884291973
rotterdam_NL-norne_DK,68.13481032551314
rotterdam_NL-northern_endurance_UK,37.80363577868962
rotterdam_NL-northern_lights_NO,103.9509694497113
rotterdam_NL-orion_UK,34.56270770742034
rotterdam_NL-porthos_NL,4.412296823798182
rotterdam_NL-poseidon_NO,70.08460388809253
rotterdam_NL-poseidon_UK,24.59767659878854
rotterdam_NL-ruby_DK,60.57090251704984
rotterdam_NL-smeaheia_NO,105.2704855697978
rotterdam_NL-stenlille_DK,67.6248252785407
rotterdam_NL-trudvang_NO,79.44688225361394
rotterdam_NL-viking_UK,23.99338366110457
wilhelmshaven_DE-acorn_UK,83.07743904895486
wilhelmshaven_DE-aramis_NL,23.26642567023534
wilhelmshaven_DE-bifrost_DK,42.55480626508535
wilhelmshaven_DE-coda_terminal_IS,222.1327595696049
wilhelmshaven_DE-greensand_DK,41.97723320922206
wilhelmshaven_DE-havstjerne_NO,55.80815872313912
wilhelmshaven_DE-hewett_UK,46.23119577978045
wilhelmshaven_DE-l10_area_NL,28.36785223578043
wilhelmshaven_DE-luna_NO,88.62672081254655
wilhelmshaven_DE-norne_DK,37.44081649374326
wilhelmshaven_DE-northern_endurance_UK,51.70822183469361
wilhelmshaven_DE-northern_lights_NO,86.10548590699692
wilhelmshaven_DE-orion_UK,53.78613460889414
wilhelmshaven_DE-porthos_NL,35.60634843811502
wilhelmshaven_DE-poseidon_NO,54.04814701816265
wilhelmshaven_DE-poseidon_UK,49.02284509652213
wilhelmshaven_DE-ruby_DK,26.54615263433667
wilhelmshaven_DE-smeaheia_NO,88.82693514743728
wilhelmshaven_DE-stenlille_DK,33.79585221494239
wilhelmshaven_DE-trudvang_NO,70.91098523591985
wilhelmshaven_DE-viking_UK,41.67093418390797
zeebrugge_BE-acorn_UK,82.88538950027795
zeebrugge_BE-aramis_NL,28.61942376794394
zeebrugge_BE-bifrost_DK,60.5243426521788
zeebrugge_BE-coda_terminal_IS,219.1917208209163
zeebrugge_BE-greensand_DK,65.91180488718135
zeebrugge_BE-havstjerne_NO,78.10966689995222
zeebrugge_BE-hewett_UK,22.47043539516818
zeebrugge_BE-l10_area_NL,25.76578733545633
zeebrugge_BE-luna_NO,109.457823634261
zeebrugge_BE-norne_DK,78.64745768029316
zeebrugge_BE-northern_endurance_UK,38.50376248819395
zeebrugge_BE-northern_lights_NO,111.0377283531845
zeebrugge_BE-orion_UK,33.22888186136765
zeebrugge_BE-porthos_NL,10.56810803588143
zeebrugge_BE-poseidon_NO,77.51303744745317
zeebrugge_BE-poseidon_UK,22.245988368004
zeebrugge_BE-ruby_DK,71.76604949468447
zeebrugge_BE-smeaheia_NO,111.9600986316863
zeebrugge_BE-stenlille_DK,78.7237102661976
zeebrugge_BE-trudvang_NO,84.58503100345317
zeebrugge_BE-viking_UK,25.94302746113663
