node,lat,lon
acorn_UK,57.60920229,-1.823844287
aramis_NL,53.48944,4.9028
bifrost_DK,56.345238,4.2720219
cement_174_CH,46.65565333,6.546422629
cement_175_CH,47.52172535,8.23908181
cement_176_CH,46.91546718,9.552901526
cement_177_CH,47.41466482,8.156813516
cement_179_CH,47.18479437,7.249300547
chemical_11_CH,47.04003505,7.035786153
chemical_16_CH,47.54764124,7.978609843
chemical_268_CH,46.29670653,7.888202131
coda_terminal_IS,64.01503,-22.12969
dortmund_DE,51.528353,7.43587
duisburg_DE,51.421478,6.730078
emmerich_DE,51.830036,6.252469
energy_344_CH,46.82634343,9.424618582
energy_382_CH,47.0624744,8.092268227
gernsheim_DE,49.756822,8.479881
greensand_DK,56.68852,5.321124
havstjerne_NO,57.79415385,4.636277119
hewett_UK,53.0175,1.795278
karlsruhe_DE,49.017183,8.297881
kehl_DE,48.587537,7.808635
koblenz_DE,50.393181,7.593327
koeln_DE,50.973145,6.998903
l10_area_NL,53.403889,4.201944
luna_NO,60.458351,3.162822
norne_DK,56.52081027,9.998041881
northern_endurance_UK,54.25478,0.94047
northern_lights_NO,60.54017,4.88833
orion_UK,53.633,0.617
porthos_NL,52.10700665,3.912818514
poseidon_NO,57.71604087,4.963814154
poseidon_UK,52.86870277,1.454385767
rotterdam_NL,51.896027,4.399843
ruby_DK,54.63760806,11.45912733
smeaheia_NO,60.652963,4.077951
stenlille_DK,55.548792,11.623845
trudvang_NO,58.35,1.9
trullikon_CH,47.6418056,8.7086111
viking_UK,53.448056,2.333056
waste_110_CH,47.21527924,7.570638618
waste_206_CH,46.19416348,6.03222107
waste_223_CH,46.7725334,7.121794295
waste_227_CH,46.52772678,6.639160355
waste_230_CH,46.27805722,6.959997279
waste_274_CH,47.54666605,7.583332161
waste_278_CH,47.13503849,9.040002717
waste_280_CH,47.17559971,9.483640718
waste_282_CH,47.42333192,9.06861071
waste_283_CH,47.55750172,9.138338047
waste_286_CH,47.41416746,8.565279503
waste_287_CH,47.4981493,8.752548519
waste_289_CH,47.3083149,8.820617307
waste_290_CH,47.41658839,8.403017846
waste_362_CH,46.17223428,8.988657348
waste_367_CH,46.76205974,7.60618831
waste_410_CH,46.9514577,7.413923199
waste_417_CH,47.11354766,8.37596559
wilhelmshaven_DE,53.592248,8.148189
zeebrugge_BE,51.353938,3.181835
