super_node,node
cement,cement_179_CH
cement,cement_175_CH
cement,cement_176_CH
cement,cement_174_CH
cement,cement_177_CH
chemical,chemical_268_CH
chemical,chemical_16_CH
chemical,chemical_11_CH
energy,energy_382_CH
energy,energy_344_CH
harbor,rotterdam_NL
harbor,zeebrugge_BE
harbor,wilhelmshaven_DE
storage,greensand_DK
storage,havstjerne_NO
storage,bifrost_DK
storage,hewett_UK
storage,l10_area_NL
storage,coda_terminal_IS
storage,northern_endurance_UK
storage,norne_DK
storage,aramis_NL
storage,northern_lights_NO
storage,orion_UK
storage,porthos_NL
storage,poseidon_NO
storage,ruby_DK
storage,smeaheia_NO
storage,stenlille_DK
storage,trudvang_NO
storage,viking_UK
storage,luna_NO
storage,acorn_UK
storage,trullikon_CH
storage,poseidon_UK
transfer,karlsruhe_DE
transfer,dortmund_DE
transfer,kehl_DE
transfer,koblenz_DE
transfer,emmerich_DE
transfer,koeln_DE
transfer,gernsheim_DE
transfer,duisburg_DE
waste,waste_289_CH
waste,waste_110_CH
waste,waste_367_CH
waste,waste_286_CH
waste,waste_410_CH
waste,waste_278_CH
waste,waste_274_CH
waste,waste_283_CH
waste,waste_417_CH
waste,waste_206_CH
waste,waste_290_CH
waste,waste_223_CH
waste,waste_230_CH
waste,waste_227_CH
waste,waste_280_CH
waste,waste_282_CH
waste,waste_287_CH
waste,waste_362_CH
