year,acorn_UK,aramis_NL,bifrost_DK,bockovac_HR,coda_terminal_IS,galata_BG,greensand_DK,havstjerne_NO,hewett_UK,hynet_UK,l10_area_NL,luna_NO,norne_DK,northern_endurance_UK,northern_lights_NO,orion_UK,polaris_NO,porthos_NL,poseidon_NO,prinos_GR,pycasso_FR,ravenna_hub_IT,ruby_DK,smeaheia_NO,spirit_morecambe_UK,stenlille_DK,trudvang_NO,viking_UK,poseidon_UK,trullikon_CH
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.025,0.0,0.07500000000000001,0.0,0.0,0.225,0.2,0.0,0.0,0.0,0.07500000000000001,0.0,0.0,0.125,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
2027,0.0,0.25,0.0,0.0,0.025,0.0,0.07500000000000001,0.105,0.3,0.225,0.2,0.0,0.115,0.2,0.07500000000000001,0.0,0.0,0.125,0.0,0.05,0.0,0.2,0.05,0.0,0.0,0.025,0.0,0.225,0.0,0.0
2028,0.0,0.25,0.0,0.0,0.05,0.04000000000000001,0.07500000000000001,0.105,0.3,0.225,0.2,0.07500000000000001,0.115,0.2,0.25,0.0,0.0,0.125,0.0,0.15,0.0,0.2,0.05,0.25,0.0,0.025,0.0,0.225,0.0,0.0
2029,0.0,0.25,0.125,0.05,0.05,0.04000000000000001,0.07500000000000001,0.105,0.3,0.225,0.2,0.07500000000000001,0.115,0.2,0.25,0.0,0.2,0.125,0.07500000000000001,0.15,0.0,0.2,0.05,0.25,0.0,0.025,0.135,0.225,0.07500000000000001,0.0
