node,price_import
acorn_UK,0.341
aramis_NL,0.2466
bifrost_DK,0.12325
cement_174_CH,0.255
cement_175_CH,0.255
cement_176_CH,0.255
cement_177_CH,0.255
cement_179_CH,0.255
chemical_11_CH,0.255
chemical_16_CH,0.255
chemical_268_CH,0.255
coda_terminal_IS,0.06295
dortmund_DE,0.2036
duisburg_DE,0.2036
emmerich_DE,0.2036
energy_344_CH,0.255
energy_382_CH,0.255
gernsheim_DE,0.2036
greensand_DK,0.12325
havstjerne_NO,0.08765
hewett_UK,0.341
karlsruhe_DE,0.2036
kehl_DE,0.2036
koblenz_DE,0.2036
koeln_DE,0.2036
l10_area_NL,0.2466
luna_NO,0.08765
norne_DK,0.12325
northern_endurance_UK,0.341
northern_lights_NO,0.08765
orion_UK,0.341
porthos_NL,0.2466
poseidon_NO,0.08765
poseidon_UK,0.341
rotterdam_NL,0.2466
ruby_DK,0.12325
smeaheia_NO,0.08765
stenlille_DK,0.12325
trudvang_NO,0.08765
trullikon_CH,0.255
viking_UK,0.341
waste_110_CH,0.255
waste_206_CH,0.255
waste_223_CH,0.255
waste_227_CH,0.255
waste_230_CH,0.255
waste_274_CH,0.255
waste_278_CH,0.255
waste_280_CH,0.255
waste_282_CH,0.255
waste_283_CH,0.255
waste_286_CH,0.255
waste_287_CH,0.255
waste_289_CH,0.255
waste_290_CH,0.255
waste_362_CH,0.255
waste_367_CH,0.255
waste_410_CH,0.255
waste_417_CH,0.255
wilhelmshaven_DE,0.2036
zeebrugge_BE,0.21405
