node,demand
cement_174_CH,339.0
cement_175_CH,580.0
cement_176_CH,533.0
cement_177_CH,575.0
cement_179_CH,334.0
chemical_11_CH,492.0
chemical_16_CH,39.6
chemical_268_CH,383.5
energy_344_CH,221.0
energy_382_CH,10.5
waste_110_CH,272.0
waste_206_CH,299.0
waste_223_CH,114.0
waste_227_CH,203.0
waste_230_CH,230.4
waste_274_CH,392.0
waste_278_CH,122.0
waste_280_CH,211.0
waste_282_CH,180.0
waste_283_CH,163.0
waste_286_CH,401.0
waste_287_CH,200.0
waste_289_CH,191.0
waste_290_CH,107.0
waste_362_CH,190.0
waste_367_CH,121.0
waste_410_CH,126.7
waste_417_CH,328.0
