year,opex_specific_fixed
2021,1.85
2022,1.8047068965517241
2023,1.7594137931034484
2024,1.7141206896551724
2025,1.6688275862068966
2026,1.6235344827586207
2027,1.578241379310345
2028,1.532948275862069
2029,1.4876551724137932
2030,1.4423620689655172
2031,1.3970689655172415
2032,1.3517758620689655
2033,1.3064827586206897
2034,1.2611896551724138
2035,1.2158965517241378
2036,1.170603448275862
2037,1.1253103448275863
2038,1.0800172413793103
2039,1.0347241379310343
2040,0.9894310344827586
2041,0.9441379310344827
2042,0.8988448275862069
2043,0.853551724137931
2044,0.8082586206896551
2045,0.7629655172413792
2046,0.7176724137931034
2047,0.6723793103448275
2048,0.6270862068965517
2049,0.5817931034482757
2050,0.5365
