year,opex_specific_variable
2025,1.090909090909091
2026,1.072727272727273
2027,1.054545454545454
2028,1.036363636363636
2029,1.018181818181818
2030,1.0
2031,0.9818181818181819
2032,0.9636363636363636
2033,0.9454545454545454
2034,0.9272727272727272
2035,0.9090909090909091
2036,0.890909090909091
2037,0.8727272727272727
2038,0.8545454545454546
2039,0.8363636363636363
2040,0.8181818181818182
2041,0.8
2042,0.7818181818181817
2043,0.7636363636363659
2044,0.7454545454545477
2045,0.7272727272727295
2046,0.7090909090909113
2047,0.6909090909090932
2048,0.6727272727272751
2049,0.6545454545454569
2050,0.6363636363636386
2051,0.6181818181818204
2052,0.6000000000000023
2053,0.5818181818181841
2054,0.5636363636363659
2055,0.5454545454545477
2056,0.5272727272727296
