edge,capacity_limit
dortmund_DE-duisburg_DE,500
dortmund_DE-emmerich_DE,500
dortmund_DE-wilhelmshaven_DE,500
duisburg_DE-dortmund_DE,500
duisburg_DE-emmerich_DE,500
duisburg_DE-koeln_DE,500
duisburg_DE-rotterdam_NL,500
emmerich_DE-dortmund_DE,500
emmerich_DE-duisburg_DE,500
emmerich_DE-rotterdam_NL,500
emmerich_DE-wilhelmshaven_DE,500
gernsheim_DE-karlsruhe_DE,500
gernsheim_DE-koblenz_DE,500
karlsruhe_DE-gernsheim_DE,500
karlsruhe_DE-kehl_DE,500
kehl_DE-karlsruhe_DE,500
kehl_DE-waste_274_CH,500
koblenz_DE-gernsheim_DE,500
koblenz_DE-koeln_DE,500
koeln_DE-duisburg_DE,500
koeln_DE-koblenz_DE,500
koeln_DE-rotterdam_NL,500
koeln_DE-zeebrugge_BE,500
rotterdam_NL-duisburg_DE,500
rotterdam_NL-emmerich_DE,500
rotterdam_NL-koeln_DE,500
rotterdam_NL-wilhelmshaven_DE,500
rotterdam_NL-zeebrugge_BE,500
waste_274_CH-kehl_DE,500
wilhelmshaven_DE-dortmund_DE,500
wilhelmshaven_DE-emmerich_DE,500
wilhelmshaven_DE-rotterdam_NL,500
wilhelmshaven_DE-zeebrugge_BE,500
zeebrugge_BE-koeln_DE,500
zeebrugge_BE-rotterdam_NL,500
zeebrugge_BE-wilhelmshaven_DE,500
