edge,capacity_limit
acorn_UK-bifrost_DK,inf
acorn_UK-luna_NO,inf
acorn_UK-northern_endurance_UK,inf
acorn_UK-orion_UK,inf
acorn_UK-trudvang_NO,inf
aramis_NL-bifrost_DK,inf
aramis_NL-greensand_DK,inf
aramis_NL-l10_area_NL,inf
aramis_NL-porthos_NL,inf
aramis_NL-rotterdam_NL,inf
aramis_NL-wilhelmshaven_DE,inf
bifrost_DK-acorn_UK,inf
bifrost_DK-aramis_NL,inf
bifrost_DK-greensand_DK,inf
bifrost_DK-havstjerne_NO,inf
bifrost_DK-l10_area_NL,inf
bifrost_DK-northern_endurance_UK,inf
bifrost_DK-trudvang_NO,inf
greensand_DK-aramis_NL,inf
greensand_DK-bifrost_DK,inf
greensand_DK-havstjerne_NO,inf
greensand_DK-norne_DK,inf
greensand_DK-poseidon_NO,inf
greensand_DK-wilhelmshaven_DE,inf
havstjerne_NO-bifrost_DK,inf
havstjerne_NO-greensand_DK,inf
havstjerne_NO-luna_NO,inf
havstjerne_NO-northern_lights_NO,inf
havstjerne_NO-poseidon_NO,inf
havstjerne_NO-trudvang_NO,inf
hewett_UK-orion_UK,inf
hewett_UK-porthos_NL,inf
hewett_UK-poseidon_UK,inf
hewett_UK-viking_UK,inf
l10_area_NL-aramis_NL,inf
l10_area_NL-bifrost_DK,inf
l10_area_NL-northern_endurance_UK,inf
l10_area_NL-porthos_NL,inf
l10_area_NL-viking_UK,inf
luna_NO-acorn_UK,inf
luna_NO-havstjerne_NO,inf
luna_NO-northern_lights_NO,inf
luna_NO-smeaheia_NO,inf
luna_NO-trudvang_NO,inf
norne_DK-greensand_DK,inf
norne_DK-poseidon_NO,inf
norne_DK-ruby_DK,inf
norne_DK-stenlille_DK,inf
norne_DK-wilhelmshaven_DE,inf
northern_endurance_UK-acorn_UK,inf
northern_endurance_UK-bifrost_DK,inf
northern_endurance_UK-l10_area_NL,inf
northern_endurance_UK-orion_UK,inf
northern_endurance_UK-viking_UK,inf
northern_lights_NO-havstjerne_NO,inf
northern_lights_NO-luna_NO,inf
northern_lights_NO-poseidon_NO,inf
northern_lights_NO-smeaheia_NO,inf
orion_UK-acorn_UK,inf
orion_UK-hewett_UK,inf
orion_UK-northern_endurance_UK,inf
orion_UK-poseidon_UK,inf
orion_UK-viking_UK,inf
porthos_NL-aramis_NL,inf
porthos_NL-hewett_UK,inf
porthos_NL-l10_area_NL,inf
porthos_NL-poseidon_UK,inf
porthos_NL-rotterdam_NL,inf
porthos_NL-viking_UK,inf
porthos_NL-zeebrugge_BE,inf
poseidon_NO-greensand_DK,inf
poseidon_NO-havstjerne_NO,inf
poseidon_NO-norne_DK,inf
poseidon_NO-northern_lights_NO,inf
poseidon_UK-hewett_UK,inf
poseidon_UK-orion_UK,inf
poseidon_UK-porthos_NL,inf
poseidon_UK-zeebrugge_BE,inf
rotterdam_NL-aramis_NL,inf
rotterdam_NL-porthos_NL,inf
rotterdam_NL-wilhelmshaven_DE,inf
rotterdam_NL-zeebrugge_BE,inf
ruby_DK-norne_DK,inf
ruby_DK-stenlille_DK,inf
ruby_DK-wilhelmshaven_DE,inf
smeaheia_NO-luna_NO,inf
smeaheia_NO-northern_lights_NO,inf
stenlille_DK-norne_DK,inf
stenlille_DK-ruby_DK,inf
trudvang_NO-acorn_UK,inf
trudvang_NO-bifrost_DK,inf
trudvang_NO-havstjerne_NO,inf
trudvang_NO-luna_NO,inf
viking_UK-hewett_UK,inf
viking_UK-l10_area_NL,inf
viking_UK-northern_endurance_UK,inf
viking_UK-orion_UK,inf
viking_UK-porthos_NL,inf
wilhelmshaven_DE-aramis_NL,inf
wilhelmshaven_DE-greensand_DK,inf
wilhelmshaven_DE-norne_DK,inf
wilhelmshaven_DE-rotterdam_NL,inf
wilhelmshaven_DE-ruby_DK,inf
zeebrugge_BE-porthos_NL,inf
zeebrugge_BE-poseidon_UK,inf
zeebrugge_BE-rotterdam_NL,inf
