edge,carbon_intensity_technology
acorn_UK-bifrost_DK,2.647133898475965
acorn_UK-luna_NO,2.866233147467555
acorn_UK-northern_endurance_UK,2.750064420562535
acorn_UK-orion_UK,3.13376411316765
acorn_UK-trudvang_NO,1.576098172085687
aramis_NL-bifrost_DK,3.516393632922873
aramis_NL-greensand_DK,3.919394147100543
aramis_NL-l10_area_NL,0.5215164263839243
aramis_NL-porthos_NL,1.841243975496918
aramis_NL-rotterdam_NL,1.982197428193597
aramis_NL-wilhelmshaven_DE,2.364157933454006
bifrost_DK-acorn_UK,2.458621540307996
bifrost_DK-aramis_NL,1.990743831776303
bifrost_DK-greensand_DK,0.4667936841175033
bifrost_DK-havstjerne_NO,1.011614641169249
bifrost_DK-l10_area_NL,2.034773785540683
bifrost_DK-northern_endurance_UK,1.95606588217094
bifrost_DK-trudvang_NO,1.643414177822716
greensand_DK-aramis_NL,2.218895418757484
greensand_DK-bifrost_DK,0.4667936841175033
greensand_DK-havstjerne_NO,0.8058519146520724
greensand_DK-norne_DK,1.78923027129159
greensand_DK-poseidon_NO,0.722645619146593
greensand_DK-wilhelmshaven_DE,2.414785280199236
havstjerne_NO-bifrost_DK,0.332891673383209
havstjerne_NO-greensand_DK,0.2651814054979751
havstjerne_NO-luna_NO,0.6292934536487498
havstjerne_NO-northern_lights_NO,0.6251743234701613
havstjerne_NO-poseidon_NO,0.04363484745030433
havstjerne_NO-trudvang_NO,0.3532758085847446
hewett_UK-orion_UK,0.6964934420951313
hewett_UK-porthos_NL,1.174988895312553
hewett_UK-poseidon_UK,0.189127996929006
hewett_UK-viking_UK,0.4008145068157142
l10_area_NL-aramis_NL,0.5215164263839243
l10_area_NL-bifrost_DK,3.594166898675909
l10_area_NL-northern_endurance_UK,2.572917848907519
l10_area_NL-porthos_NL,1.599044505920114
l10_area_NL-viking_UK,1.363542227813929
luna_NO-acorn_UK,0.8760222015973289
luna_NO-havstjerne_NO,0.6292934536487498
luna_NO-northern_lights_NO,0.1952890767466639
luna_NO-smeaheia_NO,0.1121892676916298
luna_NO-trudvang_NO,0.5022615124921207
norne_DK-greensand_DK,1.78923027129159
norne_DK-poseidon_NO,2.067062124701448
norne_DK-ruby_DK,1.422381151323822
norne_DK-stenlille_DK,0.9212377946598193
norne_DK-wilhelmshaven_DE,2.153823052060261
northern_endurance_UK-acorn_UK,2.750064420562535
northern_endurance_UK-bifrost_DK,2.106045285724754
northern_endurance_UK-l10_area_NL,1.568296021900521
northern_endurance_UK-orion_UK,0.4849062571587995
northern_endurance_UK-viking_UK,0.8575687556774397
northern_lights_NO-havstjerne_NO,0.6251743234701613
northern_lights_NO-luna_NO,0.1952890767466639
northern_lights_NO-poseidon_NO,0.6421523118259388
northern_lights_NO-smeaheia_NO,0.09442890232940503
orion_UK-acorn_UK,3.13376411316765
orion_UK-hewett_UK,0.6964934420951313
orion_UK-northern_endurance_UK,0.4849062571587995
orion_UK-poseidon_UK,0.6808107291647175
orion_UK-viking_UK,0.772475384999893
porthos_NL-aramis_NL,1.841243975496918
porthos_NL-hewett_UK,1.927665350674185
porthos_NL-l10_area_NL,1.599044505920114
porthos_NL-poseidon_UK,2.05380843740198
porthos_NL-rotterdam_NL,0.4483441800895613
porthos_NL-viking_UK,2.0124590017108
porthos_NL-zeebrugge_BE,1.073851085196594
poseidon_NO-greensand_DK,0.2378007391655642
poseidon_NO-havstjerne_NO,0.04363484745030433
poseidon_NO-norne_DK,0.6802074047520551
poseidon_NO-northern_lights_NO,0.6421523118259388
poseidon_UK-hewett_UK,0.189127996929006
poseidon_UK-orion_UK,0.6808107291647175
poseidon_UK-porthos_NL,1.251878136525386
poseidon_UK-zeebrugge_BE,1.377845882944128
rotterdam_NL-aramis_NL,1.982197428193597
rotterdam_NL-porthos_NL,0.4483441800895613
rotterdam_NL-wilhelmshaven_DE,3.464812470582022
rotterdam_NL-zeebrugge_BE,1.137612315402788
ruby_DK-norne_DK,1.422381151323822
ruby_DK-stenlille_DK,0.6333191765079761
ruby_DK-wilhelmshaven_DE,1.527095849976968
smeaheia_NO-luna_NO,0.1121892676916298
smeaheia_NO-northern_lights_NO,0.09442890232940503
stenlille_DK-norne_DK,0.9212377946598193
stenlille_DK-ruby_DK,0.6333191765079761
trudvang_NO-acorn_UK,0.4817113331704843
trudvang_NO-bifrost_DK,0.5407977242053034
trudvang_NO-havstjerne_NO,0.3532758085847446
trudvang_NO-luna_NO,0.5022615124921207
viking_UK-hewett_UK,0.4008145068157142
viking_UK-l10_area_NL,0.8311333579818558
viking_UK-northern_endurance_UK,0.8575687556774397
viking_UK-orion_UK,0.772475384999893
viking_UK-porthos_NL,1.226674006696739
wilhelmshaven_DE-aramis_NL,2.143641208570626
wilhelmshaven_DE-greensand_DK,3.867552678888025
wilhelmshaven_DE-norne_DK,3.449592054064187
wilhelmshaven_DE-rotterdam_NL,3.141632243264648
wilhelmshaven_DE-ruby_DK,2.445817313003463
zeebrugge_BE-porthos_NL,0.5661795887712707
zeebrugge_BE-poseidon_UK,1.19181451431448
zeebrugge_BE-rotterdam_NL,0.5997971988806687
