edge,distance
acorn_UK-bifrost_DK,474.8806383048973
acorn_UK-luna_NO,514.185786893396
acorn_UK-northern_endurance_UK,493.3457835919067
acorn_UK-orion_UK,562.1793076711436
acorn_UK-trudvang_NO,282.7429720960254
aramis_NL-bifrost_DK,384.5104608564683
aramis_NL-greensand_DK,428.5777438765001
aramis_NL-l10_area_NL,57.02675592846505
aramis_NL-porthos_NL,201.3362676291265
aramis_NL-rotterdam_NL,216.7492397572384
aramis_NL-wilhelmshaven_DE,258.5158407803926
bifrost_DK-acorn_UK,474.8806383048973
bifrost_DK-aramis_NL,384.5104608564683
bifrost_DK-greensand_DK,90.16079906411515
bifrost_DK-havstjerne_NO,195.3924988621276
bifrost_DK-l10_area_NL,393.0148085998566
bifrost_DK-northern_endurance_UK,377.8124446820731
bifrost_DK-trudvang_NO,317.4240365867795
greensand_DK-aramis_NL,428.5777438765001
greensand_DK-bifrost_DK,90.16079906411515
greensand_DK-havstjerne_NO,155.6496050064136
greensand_DK-norne_DK,345.5882897694595
greensand_DK-poseidon_NO,139.5783805121882
greensand_DK-wilhelmshaven_DE,466.4137023246894
havstjerne_NO-bifrost_DK,195.3924988621276
havstjerne_NO-greensand_DK,155.6496050064136
havstjerne_NO-luna_NO,369.3670651968004
havstjerne_NO-northern_lights_NO,366.9493203173534
havstjerne_NO-poseidon_NO,25.61170062961613
havstjerne_NO-trudvang_NO,207.3570730243254
hewett_UK-orion_UK,124.9469286565876
hewett_UK-porthos_NL,210.7862684726439
hewett_UK-poseidon_UK,33.92847787362822
hewett_UK-viking_UK,71.90382358372308
l10_area_NL-aramis_NL,57.02675592846505
l10_area_NL-bifrost_DK,393.0148085998566
l10_area_NL-northern_endurance_UK,281.3433111033513
l10_area_NL-porthos_NL,174.8522503694434
l10_area_NL-viking_UK,149.1005573167836
luna_NO-acorn_UK,514.185786893396
luna_NO-havstjerne_NO,369.3670651968004
luna_NO-northern_lights_NO,114.6259391777661
luna_NO-smeaheia_NO,65.8500741006681
luna_NO-trudvang_NO,294.8050067180121
norne_DK-greensand_DK,345.5882897694595
norne_DK-poseidon_NO,399.251273569796
norne_DK-ruby_DK,274.7316974083351
norne_DK-stenlille_DK,177.9362886017208
norne_DK-wilhelmshaven_DE,416.0090721527029
northern_endurance_UK-acorn_UK,493.3457835919067
northern_endurance_UK-bifrost_DK,377.8124446820731
northern_endurance_UK-l10_area_NL,281.3433111033513
northern_endurance_UK-orion_UK,86.98940127289528
northern_endurance_UK-viking_UK,153.8429160387017
northern_lights_NO-havstjerne_NO,366.9493203173534
northern_lights_NO-luna_NO,114.6259391777661
northern_lights_NO-poseidon_NO,376.9146388751074
northern_lights_NO-smeaheia_NO,55.42553529030651
orion_UK-acorn_UK,562.1793076711436
orion_UK-hewett_UK,124.9469286565876
orion_UK-northern_endurance_UK,86.98940127289528
orion_UK-poseidon_UK,122.133539907709
orion_UK-viking_UK,138.577653406489
porthos_NL-aramis_NL,201.3362676291265
porthos_NL-hewett_UK,210.7862684726439
porthos_NL-l10_area_NL,174.8522503694434
porthos_NL-poseidon_UK,224.5797573350514
porthos_NL-rotterdam_NL,49.02552026442424
porthos_NL-viking_UK,220.0582810063177
porthos_NL-zeebrugge_BE,117.4234226209047
poseidon_NO-greensand_DK,139.5783805121882
poseidon_NO-havstjerne_NO,25.61170062961613
poseidon_NO-norne_DK,399.251273569796
poseidon_NO-northern_lights_NO,376.9146388751074
poseidon_UK-hewett_UK,33.92847787362822
poseidon_UK-orion_UK,122.133539907709
poseidon_UK-porthos_NL,224.5797573350514
poseidon_UK-zeebrugge_BE,247.1776485333777
rotterdam_NL-aramis_NL,216.7492397572384
rotterdam_NL-porthos_NL,49.02552026442424
rotterdam_NL-wilhelmshaven_DE,378.8701661188434
rotterdam_NL-zeebrugge_BE,124.3955828994968
ruby_DK-norne_DK,274.7316974083351
ruby_DK-stenlille_DK,122.3250548570253
ruby_DK-wilhelmshaven_DE,294.9572514926297
smeaheia_NO-luna_NO,65.8500741006681
smeaheia_NO-northern_lights_NO,55.42553529030651
stenlille_DK-norne_DK,177.9362886017208
stenlille_DK-ruby_DK,122.3250548570253
trudvang_NO-acorn_UK,282.7429720960254
trudvang_NO-bifrost_DK,317.4240365867795
trudvang_NO-havstjerne_NO,207.3570730243254
trudvang_NO-luna_NO,294.8050067180121
viking_UK-hewett_UK,71.90382358372308
viking_UK-l10_area_NL,149.1005573167836
viking_UK-northern_endurance_UK,153.8429160387017
viking_UK-orion_UK,138.577653406489
viking_UK-porthos_NL,220.0582810063177
wilhelmshaven_DE-aramis_NL,258.5158407803926
wilhelmshaven_DE-greensand_DK,466.4137023246894
wilhelmshaven_DE-norne_DK,416.0090721527029
wilhelmshaven_DE-rotterdam_NL,378.8701661188434
wilhelmshaven_DE-ruby_DK,294.9572514926297
zeebrugge_BE-porthos_NL,117.4234226209047
zeebrugge_BE-poseidon_UK,247.1776485333777
zeebrugge_BE-rotterdam_NL,124.3955828994968
