edge,opex_specific_variable
acorn_UK-bifrost_DK,6.496367132010994
acorn_UK-luna_NO,7.034061564701656
acorn_UK-northern_endurance_UK,6.748970319537284
acorn_UK-orion_UK,7.690612928941245
acorn_UK-trudvang_NO,3.867923858273627
aramis_NL-bifrost_DK,5.260103104516487
aramis_NL-greensand_DK,5.862943536230521
aramis_NL-l10_area_NL,0.7801260211014018
aramis_NL-porthos_NL,2.75428014116645
aramis_NL-rotterdam_NL,2.965129599879021
aramis_NL-wilhelmshaven_DE,3.536496701875771
bifrost_DK-acorn_UK,6.496367132010994
bifrost_DK-aramis_NL,5.260103104516487
bifrost_DK-greensand_DK,1.233399731197095
bifrost_DK-havstjerne_NO,2.672969384433906
bifrost_DK-l10_area_NL,5.376442581646038
bifrost_DK-northern_endurance_UK,5.16847424325076
bifrost_DK-trudvang_NO,4.342360820507143
greensand_DK-aramis_NL,5.862943536230521
greensand_DK-bifrost_DK,1.233399731197095
greensand_DK-havstjerne_NO,2.129286596487737
greensand_DK-norne_DK,4.727647804046207
greensand_DK-poseidon_NO,1.909432245406735
greensand_DK-wilhelmshaven_DE,6.380539447801751
havstjerne_NO-bifrost_DK,2.672969384433906
havstjerne_NO-greensand_DK,2.129286596487737
havstjerne_NO-luna_NO,5.052941451892228
havstjerne_NO-northern_lights_NO,5.019866701941394
havstjerne_NO-poseidon_NO,0.3503680646131487
havstjerne_NO-trudvang_NO,2.836644758972771
hewett_UK-orion_UK,1.709273984022118
hewett_UK-porthos_NL,2.883556152705769
hewett_UK-poseidon_UK,0.4641415773112341
hewett_UK-viking_UK,0.9836443066253318
l10_area_NL-aramis_NL,0.7801260211014018
l10_area_NL-bifrost_DK,5.376442581646038
l10_area_NL-northern_endurance_UK,3.848776495893845
l10_area_NL-porthos_NL,2.391978785053986
l10_area_NL-viking_UK,2.039695624093599
luna_NO-acorn_UK,7.034061564701656
luna_NO-havstjerne_NO,5.052941451892228
luna_NO-northern_lights_NO,1.56808284795184
luna_NO-smeaheia_NO,0.9008290136971395
luna_NO-trudvang_NO,4.032932491902406
norne_DK-greensand_DK,4.727647804046207
norne_DK-poseidon_NO,5.461757422434808
norne_DK-ruby_DK,3.758329620546024
norne_DK-stenlille_DK,2.43416842807154
norne_DK-wilhelmshaven_DE,5.691004107048975
northern_endurance_UK-acorn_UK,6.748970319537284
northern_endurance_UK-bifrost_DK,5.16847424325076
northern_endurance_UK-l10_area_NL,3.848776495893845
northern_endurance_UK-orion_UK,1.190015009413207
northern_endurance_UK-viking_UK,2.104571091409439
northern_lights_NO-havstjerne_NO,5.019866701941394
northern_lights_NO-luna_NO,1.56808284795184
northern_lights_NO-poseidon_NO,5.156192259811468
northern_lights_NO-smeaheia_NO,0.758221322771393
orion_UK-acorn_UK,7.690612928941245
orion_UK-hewett_UK,1.709273984022118
orion_UK-northern_endurance_UK,1.190015009413207
orion_UK-poseidon_UK,1.670786825937459
orion_UK-viking_UK,1.89574229860077
porthos_NL-aramis_NL,2.75428014116645
porthos_NL-hewett_UK,2.883556152705769
porthos_NL-l10_area_NL,2.391978785053986
porthos_NL-poseidon_UK,3.072251080343503
porthos_NL-rotterdam_NL,0.6706691172173236
porthos_NL-viking_UK,3.010397284166427
porthos_NL-zeebrugge_BE,1.606352421453977
poseidon_NO-greensand_DK,1.909432245406735
poseidon_NO-havstjerne_NO,0.3503680646131487
poseidon_NO-norne_DK,5.461757422434808
poseidon_NO-northern_lights_NO,5.156192259811468
poseidon_UK-hewett_UK,0.4641415773112341
poseidon_UK-orion_UK,1.670786825937459
poseidon_UK-porthos_NL,3.072251080343503
poseidon_UK-zeebrugge_BE,3.381390231936607
rotterdam_NL-aramis_NL,2.965129599879021
rotterdam_NL-porthos_NL,0.6706691172173236
rotterdam_NL-wilhelmshaven_DE,5.182943872505777
rotterdam_NL-zeebrugge_BE,1.701731574065116
ruby_DK-norne_DK,3.758329620546024
ruby_DK-stenlille_DK,1.673406750444105
ruby_DK-wilhelmshaven_DE,4.035015200419174
smeaheia_NO-luna_NO,0.9008290136971395
smeaheia_NO-northern_lights_NO,0.758221322771393
stenlille_DK-norne_DK,2.43416842807154
stenlille_DK-ruby_DK,1.673406750444105
trudvang_NO-acorn_UK,3.867923858273627
trudvang_NO-bifrost_DK,4.342360820507143
trudvang_NO-havstjerne_NO,2.836644758972771
trudvang_NO-luna_NO,4.032932491902406
viking_UK-hewett_UK,0.9836443066253318
viking_UK-l10_area_NL,2.039695624093599
viking_UK-northern_endurance_UK,2.104571091409439
viking_UK-orion_UK,1.89574229860077
viking_UK-porthos_NL,3.010397284166427
wilhelmshaven_DE-aramis_NL,3.536496701875771
wilhelmshaven_DE-greensand_DK,6.380539447801751
wilhelmshaven_DE-norne_DK,5.691004107048975
wilhelmshaven_DE-rotterdam_NL,5.182943872505777
wilhelmshaven_DE-ruby_DK,4.035015200419174
zeebrugge_BE-porthos_NL,1.606352421453977
zeebrugge_BE-poseidon_UK,3.381390231936607
zeebrugge_BE-rotterdam_NL,1.701731574065116
