edge,opex_specific_variable
cement_174_CH-chemical_11_CH,0.4988578100824153
cement_174_CH-waste_206_CH,0.5692360162144131
cement_174_CH-waste_223_CH,0.4037878214430879
cement_174_CH-waste_227_CH,0.1399207732556566
cement_175_CH-cement_177_CH,0.1180331969289558
cement_175_CH-chemical_16_CH,0.1745615672906745
cement_175_CH-trullikon_CH,0.3323780605772592
cement_175_CH-waste_290_CH,0.1497532490968956
cement_176_CH-energy_344_CH,0.1224955103310065
cement_176_CH-waste_278_CH,0.4050161736765221
cement_176_CH-waste_280_CH,0.2584779173212894
cement_176_CH-waste_362_CH,0.8201519838891621
cement_177_CH-cement_175_CH,0.1180331969289558
cement_177_CH-chemical_16_CH,0.1758323163538626
cement_177_CH-energy_382_CH,0.3469583295673936
cement_177_CH-waste_110_CH,0.4360958070925207
cement_177_CH-waste_290_CH,0.1636202480692864
cement_177_CH-waste_417_CH,0.3287219949337036
cement_179_CH-chemical_11_CH,0.2008528973056189
cement_179_CH-waste_110_CH,0.2164430553328192
cement_179_CH-waste_274_CH,0.4175863182941305
cement_179_CH-waste_410_CH,0.2534161738833775
chemical_11_CH-cement_174_CH,0.4988578100824153
chemical_11_CH-cement_179_CH,0.2008528973056189
chemical_11_CH-waste_223_CH,0.2678579447442734
chemical_11_CH-waste_274_CH,0.6147742323850381
chemical_11_CH-waste_410_CH,0.2677903158494664
chemical_16_CH-cement_175_CH,0.1745615672906745
chemical_16_CH-cement_177_CH,0.1758323163538626
chemical_16_CH-trullikon_CH,0.4920643737573548
chemical_16_CH-waste_110_CH,0.4231166601270152
chemical_16_CH-waste_274_CH,0.2620026665857256
chemical_268_CH-energy_382_CH,0.7608161919324193
chemical_268_CH-waste_230_CH,0.6303472309992291
chemical_268_CH-waste_362_CH,0.7577354052063342
chemical_268_CH-waste_367_CH,0.4932927691506226
chemical_268_CH-waste_417_CH,0.8630259468198054
dortmund_DE-duisburg_DE,0.443975274047425
dortmund_DE-emmerich_DE,0.7784342960988402
dortmund_DE-koeln_DE,0.6062519314622088
dortmund_DE-wilhelmshaven_DE,2.065389990348024
duisburg_DE-dortmund_DE,0.443975274047425
duisburg_DE-emmerich_DE,0.4947335892823521
duisburg_DE-koeln_DE,0.469113763700039
duisburg_DE-rotterdam_NL,1.492725925108215
emmerich_DE-dortmund_DE,0.7784342960988402
emmerich_DE-duisburg_DE,0.4947335892823521
emmerich_DE-rotterdam_NL,1.124542167112864
emmerich_DE-wilhelmshaven_DE,2.061456296085077
energy_344_CH-cement_176_CH,0.1224955103310065
energy_344_CH-waste_278_CH,0.3968946054349194
energy_344_CH-waste_362_CH,0.7037954596877758
energy_344_CH-waste_417_CH,0.7569592525680945
energy_382_CH-cement_177_CH,0.3469583295673936
energy_382_CH-chemical_268_CH,0.7608161919324193
energy_382_CH-waste_110_CH,0.3792742606155708
energy_382_CH-waste_367_CH,0.4386355005873849
energy_382_CH-waste_410_CH,0.4669834504311457
energy_382_CH-waste_417_CH,0.1961351979139629
gernsheim_DE-karlsruhe_DE,0.7330082503078592
gernsheim_DE-koblenz_DE,0.8367014393646132
karlsruhe_DE-gernsheim_DE,0.7330082503078592
karlsruhe_DE-kehl_DE,0.5259503883217883
kehl_DE-karlsruhe_DE,0.5259503883217883
kehl_DE-waste_274_CH,1.028581687421126
koblenz_DE-gernsheim_DE,0.8367014393646132
koblenz_DE-koeln_DE,0.6775992279773528
koeln_DE-dortmund_DE,0.6062519314622088
koeln_DE-duisburg_DE,0.469113763700039
koeln_DE-koblenz_DE,0.6775992279773528
koeln_DE-rotterdam_NL,1.828930197256136
koeln_DE-zeebrugge_BE,2.378073750561992
rotterdam_NL-duisburg_DE,1.492725925108215
rotterdam_NL-emmerich_DE,1.124542167112864
rotterdam_NL-koeln_DE,1.828930197256136
rotterdam_NL-wilhelmshaven_DE,2.778381218204852
rotterdam_NL-zeebrugge_BE,0.9122342745963101
trullikon_CH-cement_175_CH,0.3323780605772592
trullikon_CH-chemical_16_CH,0.4920643737573548
trullikon_CH-waste_274_CH,0.7509127765213267
trullikon_CH-waste_283_CH,0.2962926176258583
trullikon_CH-waste_286_CH,0.2419703393788457
trullikon_CH-waste_287_CH,0.1434626120173718
trullikon_CH-waste_290_CH,0.2991665713471007
waste_110_CH-cement_177_CH,0.4360958070925207
waste_110_CH-cement_179_CH,0.2164430553328192
waste_110_CH-chemical_16_CH,0.4231166601270152
waste_110_CH-energy_382_CH,0.3792742606155708
waste_110_CH-waste_274_CH,0.3241102025759731
waste_110_CH-waste_410_CH,0.2782817364597421
waste_206_CH-cement_174_CH,0.5692360162144131
waste_206_CH-waste_227_CH,0.5244286775476212
waste_206_CH-waste_230_CH,0.6355308914180161
waste_223_CH-cement_174_CH,0.4037878214430879
waste_223_CH-chemical_11_CH,0.2678579447442734
waste_223_CH-waste_227_CH,0.4036142564036954
waste_223_CH-waste_230_CH,0.4953198255736903
waste_223_CH-waste_367_CH,0.3260570282441048
waste_223_CH-waste_410_CH,0.2626568648996458
waste_227_CH-cement_174_CH,0.1399207732556566
waste_227_CH-waste_206_CH,0.5244286775476212
waste_227_CH-waste_223_CH,0.4036142564036954
waste_227_CH-waste_230_CH,0.3270079540549832
waste_230_CH-chemical_268_CH,0.6303472309992291
waste_230_CH-waste_206_CH,0.6355308914180161
waste_230_CH-waste_223_CH,0.4953198255736903
waste_230_CH-waste_227_CH,0.3270079540549832
waste_230_CH-waste_367_CH,0.6433801195353295
waste_274_CH-cement_179_CH,0.4175863182941305
waste_274_CH-chemical_11_CH,0.6147742323850381
waste_274_CH-chemical_16_CH,0.2620026665857256
waste_274_CH-kehl_DE,1.028581687421126
waste_274_CH-trullikon_CH,0.7509127765213267
waste_274_CH-waste_110_CH,0.3241102025759731
waste_278_CH-cement_176_CH,0.4050161736765221
waste_278_CH-energy_344_CH,0.3968946054349194
waste_278_CH-waste_280_CH,0.2989256785265745
waste_278_CH-waste_282_CH,0.2824777266914308
waste_278_CH-waste_289_CH,0.2239001727689814
waste_278_CH-waste_417_CH,0.4442377912473561
waste_280_CH-cement_176_CH,0.2584779173212894
waste_280_CH-waste_278_CH,0.2989256785265745
waste_280_CH-waste_282_CH,0.3675694626150883
waste_280_CH-waste_283_CH,0.4384175559988057
waste_282_CH-waste_278_CH,0.2824777266914308
waste_282_CH-waste_280_CH,0.3675694626150883
waste_282_CH-waste_283_CH,0.1390865107392833
waste_282_CH-waste_287_CH,0.2222699760952612
waste_282_CH-waste_289_CH,0.1996014174161863
waste_283_CH-trullikon_CH,0.2962926176258583
waste_283_CH-waste_280_CH,0.4384175559988057
waste_283_CH-waste_282_CH,0.1390865107392833
waste_283_CH-waste_287_CH,0.2622969041238906
waste_286_CH-trullikon_CH,0.2419703393788457
waste_286_CH-waste_287_CH,0.1489772853809125
waste_286_CH-waste_289_CH,0.1989515258406473
waste_286_CH-waste_290_CH,0.1078570743491705
waste_286_CH-waste_417_CH,0.3197591830771448
waste_287_CH-trullikon_CH,0.1434626120173718
waste_287_CH-waste_282_CH,0.2222699760952612
waste_287_CH-waste_283_CH,0.2622969041238906
waste_287_CH-waste_286_CH,0.1489772853809125
waste_287_CH-waste_289_CH,0.1910565201053684
waste_289_CH-waste_278_CH,0.2239001727689814
waste_289_CH-waste_282_CH,0.1996014174161863
waste_289_CH-waste_286_CH,0.1989515258406473
waste_289_CH-waste_287_CH,0.1910565201053684
waste_289_CH-waste_417_CH,0.3524035773961579
waste_290_CH-cement_175_CH,0.1497532490968956
waste_290_CH-cement_177_CH,0.1636202480692864
waste_290_CH-trullikon_CH,0.2991665713471007
waste_290_CH-waste_286_CH,0.1078570743491705
waste_290_CH-waste_417_CH,0.2967990440663756
waste_362_CH-cement_176_CH,0.8201519838891621
waste_362_CH-chemical_268_CH,0.7577354052063342
waste_362_CH-energy_344_CH,0.7037954596877758
waste_367_CH-chemical_268_CH,0.4932927691506226
waste_367_CH-energy_382_CH,0.4386355005873849
waste_367_CH-waste_223_CH,0.3260570282441048
waste_367_CH-waste_230_CH,0.6433801195353295
waste_367_CH-waste_410_CH,0.2258399082591475
waste_410_CH-cement_179_CH,0.2534161738833775
waste_410_CH-chemical_11_CH,0.2677903158494664
waste_410_CH-energy_382_CH,0.4669834504311457
waste_410_CH-waste_110_CH,0.2782817364597421
waste_410_CH-waste_223_CH,0.2626568648996458
waste_410_CH-waste_367_CH,0.2258399082591475
waste_417_CH-cement_177_CH,0.3287219949337036
waste_417_CH-chemical_268_CH,0.8630259468198054
waste_417_CH-energy_344_CH,0.7569592525680945
waste_417_CH-energy_382_CH,0.1961351979139629
waste_417_CH-waste_278_CH,0.4442377912473561
waste_417_CH-waste_286_CH,0.3197591830771448
waste_417_CH-waste_289_CH,0.3524035773961579
waste_417_CH-waste_290_CH,0.2967990440663756
wilhelmshaven_DE-dortmund_DE,2.065389990348024
wilhelmshaven_DE-emmerich_DE,2.061456296085077
wilhelmshaven_DE-rotterdam_NL,2.778381218204852
wilhelmshaven_DE-zeebrugge_BE,3.689640891851066
zeebrugge_BE-koeln_DE,2.378073750561992
zeebrugge_BE-rotterdam_NL,0.9122342745963101
zeebrugge_BE-wilhelmshaven_DE,3.689640891851066
