edge,capacity_limit
rotterdam_NL-acorn_UK,inf
rotterdam_NL-aramis_NL,inf
rotterdam_NL-bifrost_DK,inf
rotterdam_NL-coda_terminal_IS,inf
rotterdam_NL-greensand_DK,inf
rotterdam_NL-havstjerne_NO,inf
rotterdam_NL-hewett_UK,inf
rotterdam_NL-l10_area_NL,inf
rotterdam_NL-luna_NO,inf
rotterdam_NL-norne_DK,inf
rotterdam_NL-northern_endurance_UK,inf
rotterdam_NL-northern_lights_NO,inf
rotterdam_NL-orion_UK,inf
rotterdam_NL-porthos_NL,inf
rotterdam_NL-poseidon_NO,inf
rotterdam_NL-poseidon_UK,inf
rotterdam_NL-ruby_DK,inf
rotterdam_NL-smeaheia_NO,inf
rotterdam_NL-stenlille_DK,inf
rotterdam_NL-trudvang_NO,inf
rotterdam_NL-viking_UK,inf
wilhelmshaven_DE-acorn_UK,inf
wilhelmshaven_DE-aramis_NL,inf
wilhelmshaven_DE-bifrost_DK,inf
wilhelmshaven_DE-coda_terminal_IS,inf
wilhelmshaven_DE-greensand_DK,inf
wilhelmshaven_DE-havstjerne_NO,inf
wilhelmshaven_DE-hewett_UK,inf
wilhelmshaven_DE-l10_area_NL,inf
wilhelmshaven_DE-luna_NO,inf
wilhelmshaven_DE-norne_DK,inf
wilhelmshaven_DE-northern_endurance_UK,inf
wilhelmshaven_DE-northern_lights_NO,inf
wilhelmshaven_DE-orion_UK,inf
wilhelmshaven_DE-porthos_NL,inf
wilhelmshaven_DE-poseidon_NO,inf
wilhelmshaven_DE-poseidon_UK,inf
wilhelmshaven_DE-ruby_DK,inf
wilhelmshaven_DE-smeaheia_NO,inf
wilhelmshaven_DE-stenlille_DK,inf
wilhelmshaven_DE-trudvang_NO,inf
wilhelmshaven_DE-viking_UK,inf
zeebrugge_BE-acorn_UK,inf
zeebrugge_BE-aramis_NL,inf
zeebrugge_BE-bifrost_DK,inf
zeebrugge_BE-coda_terminal_IS,inf
zeebrugge_BE-greensand_DK,inf
zeebrugge_BE-havstjerne_NO,inf
zeebrugge_BE-hewett_UK,inf
zeebrugge_BE-l10_area_NL,inf
zeebrugge_BE-luna_NO,inf
zeebrugge_BE-norne_DK,inf
zeebrugge_BE-northern_endurance_UK,inf
zeebrugge_BE-northern_lights_NO,inf
zeebrugge_BE-orion_UK,inf
zeebrugge_BE-porthos_NL,inf
zeebrugge_BE-poseidon_NO,inf
zeebrugge_BE-poseidon_UK,inf
zeebrugge_BE-ruby_DK,inf
zeebrugge_BE-smeaheia_NO,inf
zeebrugge_BE-stenlille_DK,inf
zeebrugge_BE-trudvang_NO,inf
zeebrugge_BE-viking_UK,inf
