edge,carbon_intensity_technology
rotterdam_NL-acorn_UK,43.95777305190894
rotterdam_NL-aramis_NL,10.58054779386453
rotterdam_NL-bifrost_DK,29.01915466612569
rotterdam_NL-coda_terminal_IS,119.0546937273482
rotterdam_NL-greensand_DK,31.45154714473622
rotterdam_NL-havstjerne_NO,38.47246416855695
rotterdam_NL-hewett_UK,12.68220890047182
rotterdam_NL-l10_area_NL,9.864271129851248
rotterdam_NL-luna_NO,55.99272565740018
rotterdam_NL-norne_DK,36.95533234023524
rotterdam_NL-northern_endurance_UK,20.50414343558475
rotterdam_NL-northern_lights_NO,56.3814972809171
rotterdam_NL-orion_UK,18.74631108245489
rotterdam_NL-porthos_NL,2.393165765461433
rotterdam_NL-poseidon_NO,38.01287207294646
rotterdam_NL-poseidon_UK,13.341422822828
rotterdam_NL-ruby_DK,32.85277851323805
rotterdam_NL-smeaheia_NO,57.09718367548002
rotterdam_NL-stenlille_DK,36.67872385171993
rotterdam_NL-trudvang_NO,43.09083599192846
rotterdam_NL-viking_UK,13.01366310299788
wilhelmshaven_DE-acorn_UK,45.05999731065724
wilhelmshaven_DE-aramis_NL,12.61937163844966
wilhelmshaven_DE-bifrost_DK,23.08110935786493
wilhelmshaven_DE-coda_terminal_IS,120.4815851740099
wilhelmshaven_DE-greensand_DK,22.76784211417231
wilhelmshaven_DE-havstjerne_NO,30.26953539691493
wilhelmshaven_DE-hewett_UK,25.07512967844165
wilhelmshaven_DE-l10_area_NL,15.38631137510333
wilhelmshaven_DE-luna_NO,48.06984720740447
wilhelmshaven_DE-norne_DK,20.30735552070567
wilhelmshaven_DE-northern_endurance_UK,28.04578912738493
wilhelmshaven_DE-northern_lights_NO,46.70236598308969
wilhelmshaven_DE-orion_UK,29.17281886119849
wilhelmshaven_DE-porthos_NL,19.31236666934754
wilhelmshaven_DE-poseidon_NO,29.31493058963105
wilhelmshaven_DE-poseidon_UK,26.5892797551015
wilhelmshaven_DE-ruby_DK,14.39824794799756
wilhelmshaven_DE-smeaheia_NO,48.17844055711539
wilhelmshaven_DE-stenlille_DK,18.33037979203129
wilhelmshaven_DE-trudvang_NO,38.46108932346539
wilhelmshaven_DE-viking_UK,22.60170996788917
zeebrugge_BE-acorn_UK,44.95583242250036
zeebrugge_BE-aramis_NL,15.52276012331337
zeebrugge_BE-bifrost_DK,32.82752511821419
zeebrugge_BE-coda_terminal_IS,118.8864084374189
zeebrugge_BE-greensand_DK,35.74960645099856
zeebrugge_BE-havstjerne_NO,42.36554978992769
zeebrugge_BE-hewett_UK,12.18763806475704
zeebrugge_BE-l10_area_NL,13.97498913463721
zeebrugge_BE-luna_NO,59.36833507450591
zeebrugge_BE-norne_DK,42.65723970470201
zeebrugge_BE-northern_endurance_UK,20.88388200249934
zeebrugge_BE-northern_lights_NO,60.22525246628827
zeebrugge_BE-orion_UK,18.02286330019233
zeebrugge_BE-porthos_NL,5.731988433044302
zeebrugge_BE-poseidon_NO,42.04194663324849
zeebrugge_BE-poseidon_UK,12.06590125442466
zeebrugge_BE-ruby_DK,38.92486376862695
zeebrugge_BE-smeaheia_NO,60.72553271980247
zeebrugge_BE-stenlille_DK,42.69859800071016
zeebrugge_BE-trudvang_NO,45.87769330842665
zeebrugge_BE-viking_UK,14.0711216066768
