edge,capex_specific_transport
basel_export_CH-cement_292_CH,0.2899548865163392
basel_export_CH-chemical_16_CH,0.261184895887403
basel_export_CH-chemical_432_CH,0.07002982745207621
basel_export_CH-chemical_55_CH,0.3309674537418482
basel_export_CH-metal_148_CH,0.2612810100174611
basel_export_CH-paper_121_CH,0.3123294347671315
basel_export_CH-swiss_storage_CH,0.3057189165956528
basel_export_CH-waste_136_CH,0.07164100488481266
basel_export_CH-waste_274_CH,0.03668681225888607
basel_export_CH-waste_306_CH,0.008569868235031742
cement_292_CH-basel_export_CH,0.2899548865163392
chemical_16_CH-basel_export_CH,0.261184895887403
chemical_432_CH-basel_export_CH,0.07002982745207621
chemical_55_CH-basel_export_CH,0.3309674537418482
metal_148_CH-basel_export_CH,0.2612810100174611
paper_121_CH-basel_export_CH,0.3123294347671315
swiss_storage_CH-basel_export_CH,0.3057189165956528
waste_136_CH-basel_export_CH,0.07164100488481266
waste_274_CH-basel_export_CH,0.03668681225888607
waste_306_CH-basel_export_CH,0.008569868235031742
