edge,opex_specific_variable
cement_174_CH-chemical_11_CH,39.97715620164831
cement_174_CH-waste_206_CH,41.38472032428826
cement_174_CH-waste_223_CH,38.07575642886176
cement_174_CH-waste_227_CH,32.79841546511313
cement_175_CH-cement_177_CH,32.36066393857912
cement_175_CH-chemical_16_CH,33.49123134581349
cement_175_CH-trullikon_CH,36.64756121154518
cement_175_CH-waste_290_CH,32.99506498193792
cement_176_CH-energy_344_CH,32.44991020662013
cement_176_CH-waste_278_CH,38.10032347353044
cement_176_CH-waste_280_CH,35.16955834642579
cement_176_CH-waste_362_CH,46.40303967778324
cement_177_CH-cement_175_CH,32.36066393857912
cement_177_CH-chemical_16_CH,33.51664632707725
cement_177_CH-energy_382_CH,36.93916659134787
cement_177_CH-waste_110_CH,38.72191614185041
cement_177_CH-waste_290_CH,33.27240496138573
cement_177_CH-waste_417_CH,36.57443989867407
cement_179_CH-chemical_11_CH,34.01705794611238
cement_179_CH-waste_110_CH,34.32886110665638
cement_179_CH-waste_274_CH,38.35172636588261
cement_179_CH-waste_410_CH,35.06832347766755
chemical_11_CH-cement_174_CH,39.97715620164831
chemical_11_CH-cement_179_CH,34.01705794611238
chemical_11_CH-waste_223_CH,35.35715889488547
chemical_11_CH-waste_274_CH,42.29548464770076
chemical_11_CH-waste_410_CH,35.35580631698933
chemical_16_CH-cement_175_CH,33.49123134581349
chemical_16_CH-cement_177_CH,33.51664632707725
chemical_16_CH-trullikon_CH,39.8412874751471
chemical_16_CH-waste_110_CH,38.46233320254031
chemical_16_CH-waste_274_CH,35.24005333171451
chemical_268_CH-energy_382_CH,45.21632383864839
chemical_268_CH-waste_230_CH,42.60694461998458
chemical_268_CH-waste_362_CH,45.15470810412668
chemical_268_CH-waste_367_CH,39.86585538301245
chemical_268_CH-waste_417_CH,47.26051893639611
dortmund_DE-duisburg_DE,38.8795054809485
dortmund_DE-emmerich_DE,45.5686859219768
dortmund_DE-koeln_DE,42.12503862924417
dortmund_DE-wilhelmshaven_DE,71.30779980696047
duisburg_DE-dortmund_DE,38.8795054809485
duisburg_DE-emmerich_DE,39.89467178564704
duisburg_DE-koeln_DE,39.38227527400078
duisburg_DE-rotterdam_NL,59.8545185021643
emmerich_DE-dortmund_DE,45.5686859219768
emmerich_DE-duisburg_DE,39.89467178564704
emmerich_DE-rotterdam_NL,52.49084334225727
emmerich_DE-wilhelmshaven_DE,71.22912592170155
energy_344_CH-cement_176_CH,32.44991020662013
energy_344_CH-waste_278_CH,37.93789210869839
energy_344_CH-waste_362_CH,44.07590919375551
energy_344_CH-waste_417_CH,45.13918505136189
energy_382_CH-cement_177_CH,36.93916659134787
energy_382_CH-chemical_268_CH,45.21632383864839
energy_382_CH-waste_110_CH,37.58548521231142
energy_382_CH-waste_367_CH,38.7727100117477
energy_382_CH-waste_410_CH,39.33966900862291
energy_382_CH-waste_417_CH,33.92270395827926
gernsheim_DE-karlsruhe_DE,44.66016500615719
gernsheim_DE-koblenz_DE,46.73402878729226
karlsruhe_DE-gernsheim_DE,44.66016500615719
karlsruhe_DE-kehl_DE,40.51900776643576
kehl_DE-karlsruhe_DE,40.51900776643576
kehl_DE-waste_274_CH,50.57163374842253
koblenz_DE-gernsheim_DE,46.73402878729226
koblenz_DE-koeln_DE,43.55198455954706
koeln_DE-dortmund_DE,42.12503862924417
koeln_DE-duisburg_DE,39.38227527400078
koeln_DE-koblenz_DE,43.55198455954706
koeln_DE-rotterdam_NL,66.57860394512272
koeln_DE-zeebrugge_BE,77.56147501123984
rotterdam_NL-duisburg_DE,59.8545185021643
rotterdam_NL-emmerich_DE,52.49084334225727
rotterdam_NL-koeln_DE,66.57860394512272
rotterdam_NL-wilhelmshaven_DE,85.56762436409703
rotterdam_NL-zeebrugge_BE,48.24468549192621
trullikon_CH-cement_175_CH,36.64756121154518
trullikon_CH-chemical_16_CH,39.8412874751471
trullikon_CH-waste_274_CH,45.01825553042654
trullikon_CH-waste_283_CH,35.92585235251717
trullikon_CH-waste_286_CH,34.83940678757691
trullikon_CH-waste_287_CH,32.86925224034744
trullikon_CH-waste_290_CH,35.98333142694202
waste_110_CH-cement_177_CH,38.72191614185041
waste_110_CH-cement_179_CH,34.32886110665638
waste_110_CH-chemical_16_CH,38.46233320254031
waste_110_CH-energy_382_CH,37.58548521231142
waste_110_CH-waste_274_CH,36.48220405151946
waste_110_CH-waste_410_CH,35.56563472919484
waste_206_CH-cement_174_CH,41.38472032428826
waste_206_CH-waste_227_CH,40.48857355095242
waste_206_CH-waste_230_CH,42.71061782836032
waste_223_CH-cement_174_CH,38.07575642886176
waste_223_CH-chemical_11_CH,35.35715889488547
waste_223_CH-waste_227_CH,38.07228512807391
waste_223_CH-waste_230_CH,39.90639651147381
waste_223_CH-waste_367_CH,36.5211405648821
waste_223_CH-waste_410_CH,35.25313729799291
waste_227_CH-cement_174_CH,32.79841546511313
waste_227_CH-waste_206_CH,40.48857355095242
waste_227_CH-waste_223_CH,38.07228512807391
waste_227_CH-waste_230_CH,36.54015908109966
waste_230_CH-chemical_268_CH,42.60694461998458
waste_230_CH-waste_206_CH,42.71061782836032
waste_230_CH-waste_223_CH,39.90639651147381
waste_230_CH-waste_227_CH,36.54015908109966
waste_230_CH-waste_367_CH,42.86760239070659
waste_274_CH-cement_179_CH,38.35172636588261
waste_274_CH-chemical_11_CH,42.29548464770076
waste_274_CH-chemical_16_CH,35.24005333171451
waste_274_CH-kehl_DE,50.57163374842253
waste_274_CH-trullikon_CH,45.01825553042654
waste_274_CH-waste_110_CH,36.48220405151946
waste_278_CH-cement_176_CH,38.10032347353044
waste_278_CH-energy_344_CH,37.93789210869839
waste_278_CH-waste_280_CH,35.97851357053149
waste_278_CH-waste_282_CH,35.64955453382862
waste_278_CH-waste_289_CH,34.47800345537963
waste_278_CH-waste_417_CH,38.88475582494712
waste_280_CH-cement_176_CH,35.16955834642579
waste_280_CH-waste_278_CH,35.97851357053149
waste_280_CH-waste_282_CH,37.35138925230176
waste_280_CH-waste_283_CH,38.76835111997612
waste_282_CH-waste_278_CH,35.64955453382862
waste_282_CH-waste_280_CH,37.35138925230176
waste_282_CH-waste_283_CH,32.78173021478567
waste_282_CH-waste_287_CH,34.44539952190522
waste_282_CH-waste_289_CH,33.99202834832373
waste_283_CH-trullikon_CH,35.92585235251717
waste_283_CH-waste_280_CH,38.76835111997612
waste_283_CH-waste_282_CH,32.78173021478567
waste_283_CH-waste_287_CH,35.24593808247781
waste_286_CH-trullikon_CH,34.83940678757691
waste_286_CH-waste_287_CH,32.97954570761825
waste_286_CH-waste_289_CH,33.97903051681295
waste_286_CH-waste_290_CH,32.15714148698341
waste_286_CH-waste_417_CH,36.39518366154289
waste_287_CH-trullikon_CH,32.86925224034744
waste_287_CH-waste_282_CH,34.44539952190522
waste_287_CH-waste_283_CH,35.24593808247781
waste_287_CH-waste_286_CH,32.97954570761825
waste_287_CH-waste_289_CH,33.82113040210737
waste_289_CH-waste_278_CH,34.47800345537963
waste_289_CH-waste_282_CH,33.99202834832373
waste_289_CH-waste_286_CH,33.97903051681295
waste_289_CH-waste_287_CH,33.82113040210737
waste_289_CH-waste_417_CH,37.04807154792316
waste_290_CH-cement_175_CH,32.99506498193792
waste_290_CH-cement_177_CH,33.27240496138573
waste_290_CH-trullikon_CH,35.98333142694202
