edge,capacity_limit
cement_174_CH-chemical_11_CH,200
cement_174_CH-waste_206_CH,200
cement_174_CH-waste_223_CH,200
cement_174_CH-waste_227_CH,200
cement_175_CH-cement_177_CH,200
cement_175_CH-chemical_16_CH,200
cement_175_CH-trullikon_CH,200
cement_175_CH-waste_290_CH,200
cement_176_CH-energy_344_CH,200
cement_176_CH-waste_278_CH,200
cement_176_CH-waste_280_CH,200
cement_176_CH-waste_362_CH,200
cement_177_CH-cement_175_CH,200
cement_177_CH-chemical_16_CH,200
cement_177_CH-energy_382_CH,200
cement_177_CH-waste_110_CH,200
cement_177_CH-waste_290_CH,200
cement_177_CH-waste_417_CH,200
cement_179_CH-chemical_11_CH,200
cement_179_CH-waste_110_CH,200
cement_179_CH-waste_274_CH,200
cement_179_CH-waste_410_CH,200
chemical_11_CH-cement_174_CH,200
chemical_11_CH-cement_179_CH,200
chemical_11_CH-waste_223_CH,200
chemical_11_CH-waste_274_CH,200
chemical_11_CH-waste_410_CH,200
chemical_16_CH-cement_175_CH,200
chemical_16_CH-cement_177_CH,200
chemical_16_CH-trullikon_CH,200
chemical_16_CH-waste_110_CH,200
chemical_16_CH-waste_274_CH,200
chemical_268_CH-energy_382_CH,200
chemical_268_CH-waste_230_CH,200
chemical_268_CH-waste_362_CH,200
chemical_268_CH-waste_367_CH,200
chemical_268_CH-waste_417_CH,200
dortmund_DE-duisburg_DE,200
dortmund_DE-emmerich_DE,200
dortmund_DE-koeln_DE,200
dortmund_DE-wilhelmshaven_DE,200
duisburg_DE-dortmund_DE,200
duisburg_DE-emmerich_DE,200
duisburg_DE-koeln_DE,200
duisburg_DE-rotterdam_NL,200
emmerich_DE-dortmund_DE,200
emmerich_DE-duisburg_DE,200
emmerich_DE-rotterdam_NL,200
emmerich_DE-wilhelmshaven_DE,200
energy_344_CH-cement_176_CH,200
energy_344_CH-waste_278_CH,200
energy_344_CH-waste_362_CH,200
energy_344_CH-waste_417_CH,200
energy_382_CH-cement_177_CH,200
energy_382_CH-chemical_268_CH,200
energy_382_CH-waste_110_CH,200
energy_382_CH-waste_367_CH,200
energy_382_CH-waste_410_CH,200
energy_382_CH-waste_417_CH,200
gernsheim_DE-karlsruhe_DE,200
gernsheim_DE-koblenz_DE,200
karlsruhe_DE-gernsheim_DE,200
karlsruhe_DE-kehl_DE,200
kehl_DE-karlsruhe_DE,200
kehl_DE-waste_274_CH,200
koblenz_DE-gernsheim_DE,200
koblenz_DE-koeln_DE,200
koeln_DE-dortmund_DE,200
koeln_DE-duisburg_DE,200
koeln_DE-koblenz_DE,200
koeln_DE-rotterdam_NL,200
koeln_DE-zeebrugge_BE,200
rotterdam_NL-duisburg_DE,200
rotterdam_NL-emmerich_DE,200
rotterdam_NL-koeln_DE,200
rotterdam_NL-wilhelmshaven_DE,200
rotterdam_NL-zeebrugge_BE,200
trullikon_CH-cement_175_CH,200
trullikon_CH-chemical_16_CH,200
trullikon_CH-waste_274_CH,200
trullikon_CH-waste_283_CH,200
trullikon_CH-waste_286_CH,200
trullikon_CH-waste_287_CH,200
trullikon_CH-waste_290_CH,200
waste_110_CH-cement_177_CH,200
waste_110_CH-cement_179_CH,200
waste_110_CH-chemical_16_CH,200
waste_110_CH-energy_382_CH,200
waste_110_CH-waste_274_CH,200
waste_110_CH-waste_410_CH,200
waste_206_CH-cement_174_CH,200
waste_206_CH-waste_227_CH,200
waste_206_CH-waste_230_CH,200
waste_223_CH-cement_174_CH,200
waste_223_CH-chemical_11_CH,200
waste_223_CH-waste_227_CH,200
waste_223_CH-waste_230_CH,200
waste_223_CH-waste_367_CH,200
waste_223_CH-waste_410_CH,200
waste_227_CH-cement_174_CH,200
waste_227_CH-waste_206_CH,200
waste_227_CH-waste_223_CH,200
waste_227_CH-waste_230_CH,200
waste_230_CH-chemical_268_CH,200
waste_230_CH-waste_206_CH,200
waste_230_CH-waste_223_CH,200
waste_230_CH-waste_227_CH,200
waste_230_CH-waste_367_CH,200
waste_274_CH-cement_179_CH,200
waste_274_CH-chemical_11_CH,200
waste_274_CH-chemical_16_CH,200
waste_274_CH-kehl_DE,200
waste_274_CH-trullikon_CH,200
waste_274_CH-waste_110_CH,200
waste_278_CH-cement_176_CH,200
waste_278_CH-energy_344_CH,200
waste_278_CH-waste_280_CH,200
waste_278_CH-waste_282_CH,200
waste_278_CH-waste_289_CH,200
waste_278_CH-waste_417_CH,200
waste_280_CH-cement_176_CH,200
waste_280_CH-waste_278_CH,200
waste_280_CH-waste_282_CH,200
waste_280_CH-waste_283_CH,200
waste_282_CH-waste_278_CH,200
waste_282_CH-waste_280_CH,200
waste_282_CH-waste_283_CH,200
waste_282_CH-waste_287_CH,200
waste_282_CH-waste_289_CH,200
waste_283_CH-trullikon_CH,200
waste_283_CH-waste_280_CH,200
waste_283_CH-waste_282_CH,200
waste_283_CH-waste_287_CH,200
waste_286_CH-trullikon_CH,200
waste_286_CH-waste_287_CH,200
waste_286_CH-waste_289_CH,200
waste_286_CH-waste_290_CH,200
waste_286_CH-waste_417_CH,200
waste_287_CH-trullikon_CH,200
waste_287_CH-waste_282_CH,200
waste_287_CH-waste_283_CH,200
waste_287_CH-waste_286_CH,200
waste_287_CH-waste_289_CH,200
waste_289_CH-waste_278_CH,200
waste_289_CH-waste_282_CH,200
waste_289_CH-waste_286_CH,200
waste_289_CH-waste_287_CH,200
waste_289_CH-waste_417_CH,200
