time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,2.4305486606107336,4.138916664752222,1.6325520795805906,2.686886936506059,2.25717907832224,19.294605315334223,1.4455841575751636,0.3721748634843248,1.9215795841131813,10.735357012184599,4.671588983714396,25.07305729586482,0.7057934826651338,1.5577322343331224,1.3910380131523372,9.393306600695071,0.5485929674211097,0.19359437560108175,0.2957761489169892,5.337054428313788,6.714092398456342,7.108510615087646,2.387775228664399,3.030476148252166,6.354730666688396,0.4422784931132041,1.2383892290794396,11.917123831849255
1,2.3109615689306193,3.930120208792452,1.497854523673386,2.699312526242262,2.2306025712111213,18.50677003719407,1.413066294449095,0.36026261471160415,1.8029384272538804,10.380710769842567,4.47911581320644,24.191105263903452,0.649972228915741,1.499057529806067,1.3282454814858302,8.966455382760918,0.5209847545692441,0.18865880166449875,0.27736773752684113,5.298198216057087,6.650700400558408,6.83112274043328,2.2636999005121745,2.9014812319260477,6.243713273391913,0.42186409574234923,1.1888212107529312,12.165143604212465
2,2.1477313217467393,3.662058906559517,1.334726549096438,2.7044268222013326,2.1550228668606457,17.516681036228892,1.3369482173110545,0.3327549678495876,1.4968248173551548,9.605631625854603,4.255492460416876,22.738148209474886,0.5779851644776315,1.3342105658294294,1.2530170281983486,8.122228222280553,0.4914144198843442,0.1783094688150168,0.25704709489384636,5.13589657144938,6.594298488808518,6.451905716815634,2.1913804258834877,2.8066202022835536,6.05411715682195,0.38838212933773525,1.1419683783016814,12.10763229195879
3,1.872106576727128,3.4397011840278964,1.0294939316830996,2.650864458340026,1.952673924326886,16.532214794533363,1.2313421834236915,0.2982465004575393,1.013043261443374,8.776503847180983,3.942293571667972,19.490964678608997,0.4878999728334696,1.1481306930483113,1.121388781670527,6.90339093103191,0.4630443164120989,0.164331328592674,0.2293615773477198,4.91915204293698,6.31603942198329,6.183573733053165,2.049692273622016,2.741981449460704,5.71021732206946,0.33782212234639164,1.073850517715473,10.704334455594918
4,1.5395235843513255,3.1725921859966477,0.9688582481314936,2.1788001869230174,1.6271471132151742,15.252530616503037,1.1204568793239542,0.29244822449571706,0.82802490429507,7.89270996962039,3.9476605866586736,15.386681657380542,0.35439523851094973,0.8722353474941159,1.008770671423188,5.255138212474466,0.46146080512361,0.14489981956472886,0.2278594559568062,4.642135645961459,5.718288847882308,5.887633410704493,1.8995106719916894,2.717492300413837,5.253734102839475,0.2563051114213781,0.9809610564508944,8.980342581407882
5,1.578284317792714,3.121941083323705,0.9735654181089836,2.074039598246592,1.5926762859193562,14.78737761563172,1.1021476704313777,0.29486556387339624,0.877412099914928,7.634959364253492,4.014165823818432,14.5143188865234,0.3424203755625202,0.8482208345085339,0.8915921576589682,4.996434868290304,0.4787077184109825,0.14250352386829854,0.230325162057187,4.618495549274643,5.6977720098981,5.815610375100204,1.7489280270505365,2.710211628907918,5.281833315544488,0.25779719737729767,0.9658457979760298,7.56758314068103
6,1.6320906983078192,3.176845782633002,0.9910324245362645,2.0955889351662833,1.5826058955298465,14.584984415602644,1.1501135577702373,0.3020636360918999,0.9292205286004265,7.749651119695504,3.9831720584981,14.812364671390355,0.3635210408249611,0.8945620490483008,0.8488154974437748,5.519957868194336,0.4897641513190734,0.1445699143975961,0.24042083663543234,4.741203990886718,5.885216418599256,5.866206805397828,1.686879582527959,2.7038158024102357,5.38224711568506,0.2866466080683574,1.005306530881013,7.32636265139012
7,1.8455003740201654,3.171132399185697,1.1233412633333733,2.080572281996214,1.60357146503516,14.92527083649165,1.1821287986368492,0.313311356068788,1.129251182197082,7.985900130657713,4.075510977135012,14.896780581083965,0.36355514614067996,0.9192114232073674,0.8747893182387909,5.745724230426942,0.4968121010373488,0.1506309663462268,0.2496805018510655,4.848299357275508,6.014288623009438,5.805035205078668,1.6824719665787562,2.7072553622459647,5.595563365304546,0.3060086919136469,0.9999155837298375,7.910138656784534
8,2.014008261215978,3.22178599981119,1.2849900321723453,2.097494545379157,1.646175263713737,15.58037209597655,1.2586069874143453,0.31657469151882156,1.4868806021479086,8.05188671000425,4.1036282887614455,15.42355898583854,0.42837322829688385,0.9990693607277572,0.9007819143935045,6.150884167605335,0.506180765982138,0.15754948379070294,0.2540027674144404,5.020286310413282,6.247798889026144,5.783475869197998,1.6383858275847085,2.7555505223021477,5.794239974945905,0.3383464507686407,1.0404427709434645,9.070310540166435
9,2.233682362412568,3.300652775001786,1.3961530723670408,2.173129848577143,1.9073790731127436,17.041388684800328,1.3398950862183654,0.3359939127692972,1.9043840343293623,8.49126245409306,4.211073121323959,16.40417077727087,0.5223900205848712,1.1026580723918786,0.9369691947533025,6.94105408748491,0.5518097859263958,0.1619622333122726,0.27804583578340586,5.198907545577032,6.478769748012991,6.029324700203206,1.634506271748762,2.7890750832579543,6.070553137608674,0.3818216525006319,1.1414707305029794,10.1266449827849
10,2.4496274623217063,3.515530069561505,1.4395995528652743,2.3199553245723354,2.1547014350533287,18.56262834966481,1.4523896104963454,0.35444671641801634,2.2152130431566244,9.429805857228736,4.317001320331135,17.814489180240095,0.5960600938104474,1.2134251605705613,1.0048849545730525,7.833294613726065,0.5864830075819638,0.17413688280722145,0.2973819109846217,5.410684511269894,6.78041120662024,6.38624650365543,1.8081729494066945,2.824462960347178,6.298647999086224,0.4060718378465038,1.1834132322534274,11.890669774313363
11,2.5650096906460735,3.7494171248872803,1.4245065086969702,2.4045028361009866,2.279023011260246,20.080356785824875,1.5334404714253662,0.36042400616153797,2.269754033244714,10.110558182537682,4.384598671338238,19.10994967804242,0.6357862677937984,1.313571676907746,1.145253448011337,8.386328770756492,0.603925590934403,0.18744462523000366,0.30870690377642074,5.635012149237992,6.9385939764211,6.70442612144114,2.015388904987602,2.8439689380126087,6.456807174230603,0.4209225007567126,1.2492111095825946,13.5814100069689
12,2.5730588686951896,3.8101217164952246,1.379468609894471,2.409107948103033,2.3653950109836,20.78368292885967,1.5709500994726657,0.3624831351166431,2.1144278678637605,10.406364846654641,4.399292737669966,20.537991734846067,0.6215888847653545,1.3841817648397212,1.2841514475575226,8.720941105434699,0.6097440716227037,0.19412883480335905,0.3073138939617427,5.755936487545249,7.009767581374213,6.98169009781814,2.200740738680586,2.8339711457435404,6.571798643769392,0.420434207152935,1.2497476466555653,14.768252182706451
13,2.562974309215466,3.919621156564829,1.331034100797774,2.551166323213004,2.397920014201052,20.607196410379608,1.5770611719295593,0.36773823903703445,1.7484120384579103,10.660279731103731,4.376739448422928,20.378476069623076,0.575637433877209,1.3836024806787428,1.3946326889518434,8.135498100290295,0.607886449409697,0.19305604535023504,0.3074971147066974,5.812424381184864,6.985136066517164,7.21877055049125,2.2870418389452687,2.826065686760589,6.600392072993174,0.4067459854660729,1.251977892153051,15.32133332506788
14,2.5022342952821197,3.824677814477865,1.3322390747559805,2.5667553878817597,2.382116355565905,20.422603066931384,1.5906380127298674,0.36800415079237886,1.6891030575220474,10.58988299355792,4.490458334948375,19.166383193532663,0.5394486560561653,1.393494777112604,1.4511415288033542,7.642445881167508,0.606689055009953,0.18790535981848874,0.31249513946263685,5.790396687773756,7.153053821707186,7.256296035803347,2.159347182934053,2.866226614036672,6.85311150578857,0.3980684651554142,1.2511534439259493,15.28298483421308
15,2.4822933260003843,3.7602996222175546,1.4266699040240134,2.455682686458496,2.4097835282466114,20.4608419228044,1.5580056648052405,0.40179905806302496,1.6730179528619935,9.914875984098186,4.642043789993608,18.131773399867797,0.5211520378122195,1.3898430375266002,1.4204202472097605,7.7102007191619,0.6394094637808758,0.18296617855672964,0.342713079706507,5.825325401685715,7.271597086751596,7.253393714912991,2.0340159055198757,2.982696414786778,7.071209415249144,0.3930537403022931,1.2268742518693418,15.107125397208693
16,2.5942452689625837,3.676804092247969,1.650555777606784,2.37979820379309,2.4385862721281777,21.193747693504903,1.7650152846245795,0.4063263865676031,1.7280844905331876,9.611126293449912,4.670100754677868,17.718996619644884,0.5835954702309567,1.5097028810576645,1.3928811534144079,8.284146214092743,0.6668123302871874,0.1838918218924164,0.3555555824257706,5.989113248043252,7.306485316673656,7.785204523502158,1.9984984544379736,3.267451357769496,7.395804698320527,0.41703757526809293,1.293695145497289,15.188902947219152
17,2.746112768491532,3.939272639095787,1.7450223545525565,2.3870383746520414,2.429497849599198,22.712430983196477,1.8464776689276325,0.4116813967632729,1.9448052063181989,9.783616928971382,4.693747124447414,18.903886605825875,0.6840586602703735,1.548870898781129,1.4320727776640605,9.955218861767761,0.6651544623549905,0.1986724115050736,0.35585214239699003,6.474725652238112,7.269666907359222,7.934514381651486,2.0222670940081526,3.3258452419144806,7.474874026600546,0.4601256104075324,1.3021780308014845,16.536818181197763
18,2.7614763130741222,3.989161179656654,1.7656677734926522,2.2537528658141976,2.417804651651671,23.05740366101078,1.8295416811676286,0.4040779355628368,2.009722802425684,11.0692887375571,4.707380703575762,20.423460236883596,0.7035714282494765,1.5512922028047007,1.5865135716829597,10.54655520528977,0.655955613298107,0.2046641902746774,0.34991732793346564,6.400688564866817,7.206626418911828,7.979350171791642,2.298857970389159,3.3164103952300708,7.381192893702421,0.4948799474028158,1.3137953980922135,17.412772845511203
19,2.6139728849190442,3.863393668396417,1.785556853754681,2.3394233808051466,2.41621942095737,22.61254170794554,1.7211392836440487,0.4062243620655068,2.0882157145546842,11.8314417552566,4.689564109556148,21.088449039481176,0.7256660978817181,1.5661759416646275,1.5799114695417371,10.96483176658228,0.6453149939012939,0.2016797023660408,0.3467971602024644,6.271953074706138,7.099838481027096,7.996928516428422,2.6151728483641814,3.2760255093146426,7.17963574078296,0.5015537179498832,1.3066246249958968,17.00599790690936
20,2.5691579643727005,3.858459652972245,1.8265009895699165,2.273769086386061,2.441251388987484,21.80084057193587,1.652385723179701,0.402543277124745,2.187236355834398,12.493898639545062,4.617422738736898,21.25768302048576,0.7470007448651154,1.58632585038412,1.5113876982012406,10.98596234960741,0.6173481018223038,0.1967442025457766,0.34493099927347304,6.134589012837892,7.173706651304762,7.862196644813578,2.724571404959549,3.1773343642844094,7.152248692335388,0.5096083049080835,1.3247210462601533,16.267796845335177
