time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK,LU
0,17.97512113670361,12.18625069251458,8.141786882287418,15.498674598081424,19.493209907448957,86.87381455160316,23.05728056845599,1.7247228368205514,8.009238291836883,10.362126613859992,93.2004317323193,45.15670948110088,2.713821229182721,6.242270973116615,37.345900113931656,4.387982170405617,26.19912665382293,3.6390515419651592,2.8859490945076613,17.073562332098625,15.938494770210841,33.99654518218733,0.36214990428315064,79.3325408907897,13.038529274710864,2.005205222092934,5.343865297491405,
1,18.3608786064006,12.266300859057127,8.191555047280458,15.631718359323381,19.73661991273042,87.22103413804449,23.344810058584567,1.694499347685298,7.972859135521489,10.324604890209034,93.33483669477647,45.19428273465688,2.7483124432926456,6.276596091249171,38.02298162900837,4.344934424100975,26.28205008929713,3.7497553693212198,2.8871434149726785,17.134144459635333,16.145712093762096,34.30467942651411,0.3871036839310067,80.13528434693428,13.2620083428162,2.033784635289649,5.485379235723605,
2,18.572570927954906,12.238927227292843,8.169907443016768,15.628578144975343,19.80468932108475,86.82035342597344,23.420231882561925,1.6528331663222877,7.877022630473176,10.208402671542238,92.6865028572063,44.8557660654283,2.7582648858667556,6.2573220915959284,38.34973988673945,4.268729541528803,26.14955749384786,3.8229504432862647,2.865649034862184,17.047039717551268,16.210427446281578,34.31129167454189,0.4072890850904512,80.23697088539001,13.365378375069385,2.044051203532238,5.573807415091915,
3,18.861995529044012,12.27169146205343,8.188732138704138,15.7028392929717,19.967374017852094,86.86231040754717,23.60301399157312,1.6226781437770832,7.830506479635224,10.15397219469221,92.52837381548478,44.75736059649567,2.78127149683954,6.270147968153841,38.84703782020603,4.218413291783125,26.160117916199955,3.910190651664223,2.860782663835772,17.046113396876457,16.353453013792635,34.48523364522389,0.4280935987866958,80.7328585798091,13.530231062820127,2.063840507826227,5.684460272648968,
4,19.511165609556567,12.54321148303495,8.367127849930045,16.0840368818392,20.518688735017797,88.6052266230308,24.240508974974855,1.6265507525110818,7.945996653535501,10.306443437616405,94.19441571700324,45.54358148074117,2.8602015237959852,6.4062119585106085,40.09252997921237,4.2534342499201525,26.692555235099885,4.070798204742065,2.913757080097414,17.37801888463034,16.815854226996752,35.33097401000184,0.4563764900441633,82.8065354907293,13.95748533900396,2.12363899226408,5.903051414788886,
5,20.576423389664242,13.0809673005579,8.723274421156917,16.809466167355623,21.510138303488162,92.23292451183596,25.39260598312651,1.6661778430736838,8.237139255238782,10.684368323256386,97.8690373411768,47.3024462912837,3.0029543470443034,6.679443037457986,42.19681372596856,4.37972921777431,27.80453845186277,4.318026915301314,3.0303985266635607,18.078157426399304,17.640497769632518,36.930893813433485,0.4942431654124636,86.65673586096864,14.685322823940629,2.228942278643697,6.247958207437461,
6,21.327575703317695,13.417358115721997,8.945301330468622,17.279225577204357,22.17564211470464,94.44473459495842,26.15424567727161,1.6813751380304587,8.407875361739713,10.904711950360472,100.04597007649043,48.33892469120067,3.100028152125072,6.851122775576023,43.66073841352827,4.439502903998448,28.513329759842424,4.499200463097137,3.1022824045320343,18.499222366276374,18.199458116675128,37.96704452588435,0.5244503295295088,89.19366013622418,15.19200218866174,2.300428674639744,6.497989287407781,
7,21.615053416009587,13.465623404802622,8.97550157056612,17.37971475496464,22.366070434092684,94.63861052217442,26.350624743031275,1.662777063232635,8.407425355253729,10.900087698524448,100.09665400729658,48.35016529112824,3.130345127849599,6.877018159746426,44.182252147769056,4.406874304672587,28.62235131674921,4.581529604356369,3.109729407825066,18.523873476416096,18.369687955760483,38.18954079914274,0.5426896055369725,89.824962142293,15.372643912501276,2.3224966641545937,6.606436384408173,
8,21.370484495542943,13.19163016861675,8.791254042319524,17.064341426150516,22.01751807948298,92.58394366446038,25.90843397623427,1.6077131972112841,8.214911112249673,10.64548080980733,97.7869821427854,47.22385840972691,3.0847258227649887,6.739599119936701,43.62573891290773,4.27375776914357,28.058409548235517,4.5491519746606235,3.0450348021274833,18.107851691603848,18.097744991231114,37.49596550888627,0.5465496725341041,88.3024669348199,15.18007990082524,2.2883671537240664,6.551058215882884,
9,20.757168495983784,12.703332690274411,8.464586990179997,16.470236383785675,21.303502532066823,89.04554095069096,25.034245218177016,1.5304530186744232,7.89819318310099,10.229241825895775,93.9322178715005,45.3541597570112,2.987311337305874,6.49376503511322,42.32743815595272,4.077557854003028,27.048992930595382,4.435726158048565,2.9330104190468984,17.40167932768231,17.5252533974493,36.18788523840575,0.5396525571315166,85.3290723856973,14.731092869112475,2.215962130035263,6.380746726130198,
