year,capex_specific_conversion
2022,513.6365981866318
2023,512.7601506732359
2024,511.8837031598401
2025,511.0072556464442
2026,517.6711303939056
2027,524.335005141367
2028,530.9988798888284
2029,537.6627546362897
2030,544.3266293837511
2031,543.5033475712329
2032,542.6800657587147
2033,541.8567839461966
2034,541.0335021336784
2035,540.2102203211603
2036,539.3869385086421
2037,538.5636566961239
2038,537.7403748836057
2039,536.9170930710875
2040,536.0938112585693
2041,537.9331138219168
2042,539.7724163852643
2043,541.6117189486117
2044,543.4510215119592
2045,545.2903240753067
2046,547.1296266386541
2047,548.9689292020016
2048,550.808231765349
2049,552.6475343286965
2050,554.4868368920439
