time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK,LU
0,0.44020940173159884,0.5245044466996709,0.6463086211107415,0.5373472485630233,0.40798002883887113,0.41786230524324786,0.44162355894912564,0.3905707976022472,0.26313469872508793,0.3607365672436306,0.45655389335344804,0.6805623720962182,0.2920034779727022,0.5090636053086399,0.7953637824863261,0.7540674478225894,0.19372920703386715,0.44369843711310825,0.42576370737460884,0.4124952171177053,0.5046463624408328,0.6238171418838159,0.31158887920101497,0.8053471119386952,0.45022151388400783,0.5408549569857536,0.6890453744229839,
1,0.4488339590126512,0.5436284399725698,0.6382012275684593,0.5421858097540898,0.4214649954472466,0.4362861843549119,0.44451649033089935,0.3900706819491711,0.2666733522786864,0.3611943394294134,0.46568038394939554,0.6830032555721801,0.2883644295477931,0.5120526000987584,0.7914487679867342,0.7403347625835413,0.20423877757356093,0.4419378197654761,0.42459335791117,0.43309457339302765,0.5047735251485512,0.622267780865785,0.3204560620390689,0.8012073032857364,0.4507679607770825,0.5472589676864426,0.6865754172825339,
2,0.45351039656580194,0.5569584849870441,0.6255637233520395,0.5425744578259233,0.430828970184589,0.45012109181831483,0.4437531831589676,0.3864788044565202,0.2679854533531487,0.3587408336842581,0.4704334249310694,0.679525061612135,0.2827493021968994,0.5108453544966878,0.7814829533751696,0.7211318147561979,0.2125693683007102,0.43676908319202484,0.42011859739599694,0.44877438951795834,0.5009235140110315,0.6159447563443713,0.3266533440505388,0.7909159366930839,0.4477890299035002,0.5489492942230044,0.6788848949300915,
3,0.460381923252378,0.5719878693735072,0.6170566640601715,0.545912865214568,0.4418656636019748,0.4653845461021101,0.4453994133427102,0.3851079483773136,0.2709540093486916,0.3582993186490261,0.4771973220007435,0.6794533810285829,0.2791656546208342,0.5124267888014209,0.7762304106402803,0.7065027648542324,0.22257876311712574,0.43420555602330385,0.41811883789173376,0.46552549070517407,0.49997217950795286,0.6133157406070033,0.33410847596190313,0.7853719379226705,0.4474251717899898,0.5534057840796088,0.6753127410389681,
4,0.47632017760844786,0.5974704875070063,0.6213376594273008,0.5601987498787149,0.46131268063611125,0.48928887679619787,0.4559489641125083,0.39148623695783374,0.27937283420380415,0.3650395218674959,0.4930900102682353,0.6926214832174322,0.2816051771097746,0.5242569165650267,0.7867519931645282,0.7062154684065123,0.23691819087349714,0.44044727127729344,0.42457917965110287,0.4906144268732387,0.5091211244353512,0.6231673979575933,0.3478900506619701,0.7957616453593004,0.4561356023678899,0.5687729729425643,0.6855116999128024,
5,0.5027133913810597,0.6354616658751246,0.6392341796993176,0.5867997600777979,0.49075110479589346,0.5237049209589772,0.47644988022844725,0.4063520943682151,0.29395070860206424,0.3796977574434562,0.5195057722207689,0.7204383605620858,0.2903003876593392,0.5475213239344282,0.8143936878061052,0.7208888157973062,0.2564226920494815,0.45626967536890306,0.4402736088102379,0.5259777992369763,0.5293836093065576,0.6466595261276811,0.3691365776165559,0.8234322922395412,0.4748605322598286,0.5964874954879831,0.710718744360323,
6,0.5217454777148256,0.6635221734296924,0.6477201982550216,0.6048211761167768,0.5128701872119664,0.5502271641376075,0.4899081287009023,0.41514637270578464,0.3043341613733869,0.3886887557978248,0.5379988180175954,0.7371071227525502,0.2948134611481789,0.562682081633568,0.829925812658339,0.7243970372135791,0.27214765517896106,0.46530559615661476,0.44941890624929676,0.5531364368087514,0.5418176499963958,0.6606246518886805,0.3848029812492281,0.8388233301819001,0.48662519953762434,0.6153184015763181,0.7254560406054823,
7,0.529731829578022,0.6767380932860626,0.6430454623844589,0.6102123959841153,0.5238590001410143,0.5646131421107197,0.49310332046016336,0.4152797763175545,0.3083289565374832,0.3895477012275356,0.5448221082744484,0.737959998339103,0.29340646752174204,0.566054651800659,0.82828244250661,0.7128519063027666,0.28190670101610477,0.4646980869099922,0.4492329923863656,0.5677901517609331,0.5429946455716071,0.6609473446407279,0.39207880869164125,0.836832102311369,0.4883201460173659,0.6211131061959905,0.7252358835311988,
8,0.5249263046963557,0.6727064896193033,0.6240184493656203,0.6012070907247484,0.5217969152644634,0.5646323722791567,0.48468635938837246,0.4057825546186894,0.3049610505871739,0.38131794877081504,0.5382861853471218,0.7212455410980635,0.2854875669354761,0.5561081341608937,0.8076475357863737,0.6853579089871912,0.2844009637188565,0.4534092858965006,0.4386868005319411,0.5676932376259046,0.5315796441982442,0.6460717925127112,0.3895907056650135,0.8156482151425215,0.4787022892840367,0.6120596653551504,0.7083870873421477,
9,0.5112403341714937,0.6563837746203469,0.5960502550685239,0.5824826327701542,0.5104322515190767,0.5542219182417654,0.4685022529686611,0.390019117591047,0.2965339003625623,0.3671213747970642,0.5225324086090432,0.6929721758094373,0.27347977749479524,0.5372702854561707,0.7748074570112607,0.6482862183452935,0.2814495602115494,0.43523344235172157,0.42143015200910094,0.5568389316745126,0.5119137374661937,0.6213263514694782,0.3801992013558127,0.7821500306268973,0.4616374691073264,0.5929301677172005,0.6807815691490399,
