year,opex_specific_fixed
2022,11.252358224492015
2023,11.218599139238593
2024,11.18484005398517
2025,11.151080968731746
2026,11.227577845352831
2027,11.304074721973919
2028,11.380571598595004
2029,11.457068475216092
2030,11.533565351837177
2031,11.490342944962691
2032,11.447120538088203
2033,11.403898131213717
2034,11.36067572433923
2035,11.317453317464743
2036,11.274230910590257
2037,11.231008503715769
2038,11.187786096841283
2039,11.144563689966795
2040,11.101341283092308
2041,11.266586424597719
2042,11.43183156610313
2043,11.597076707608542
2044,11.762321849113953
2045,11.927566990619363
2046,12.092812132124774
2047,12.258057273630184
2048,12.423302415135597
2049,12.588547556641007
2050,12.753792698146418
