year,capex_specific_conversion
2022,2600.2371862928026
2023,2580.964651545084
2024,2561.692116797366
2025,2542.4195820496475
2026,2522.4954669460553
2027,2502.5713518424627
2028,2482.6472367388706
2029,2462.723121635278
2030,2442.799006531686
2031,2425.3338732658603
2032,2407.868740000035
2033,2390.4036067342095
2034,2372.938473468384
2035,2355.4733402025586
2036,2335.770043658043
2037,2316.0667471135275
2038,2296.363450569012
2039,2276.6601540244965
2040,2256.956857479981
2041,2238.951137889679
2042,2220.9454182993773
2043,2202.939698709075
2044,2184.933979118773
2045,2166.9282595284712
2046,2149.0653677345895
2047,2131.2024759407077
2048,2113.3395841468255
2049,2095.4766923529437
2050,2077.613800559062
