year,opex_specific_fixed
2022,107.62149167890138
2023,107.00033989739822
2024,106.37918811589508
2025,105.75803633439193
2026,105.13688455288879
2027,104.51573277138564
2028,103.89458098988248
2029,103.27342920837934
2030,102.6522774268762
2031,102.34856045301161
2032,102.04484347914705
2033,101.74112650528247
2034,101.4374095314179
2035,101.13369255755332
2036,100.75266379415204
2037,100.37163503075077
2038,99.99060626734949
2039,99.60957750394822
2040,99.22854874054694
2041,98.89499736151546
2042,98.56144598248399
2043,98.22789460345251
2044,97.89434322442104
2045,97.56079184538956
2046,96.78039993909924
2047,96.00000803280894
2048,95.21961612651862
2049,94.43922422022831
2050,93.65883231393799
