year,opex_specific_variable
2022,1.0
2023,0.9995669134541391
2024,0.9991338269082779
2025,0.9987007403624167
2026,0.9982676538165558
2027,0.9978345672706946
2028,0.9974014807248336
2029,0.9969683941789725
2030,0.9965353076331115
2031,0.9960424395589602
2032,0.9955495714848088
2033,0.9950567034106576
2034,0.9945638353365062
2035,0.994070967262355
2036,0.9928076243250706
2037,0.991544281387786
2038,0.9902809384505016
2039,0.989017595513217
2040,0.9877542525759325
2041,0.9851446558571333
2042,0.9825350591383339
2043,0.9799254624195346
2044,0.9773158657007353
2045,0.974706268981936
2046,0.9676435429778716
2047,0.9605808169738074
2048,0.9535180909697433
2049,0.9464553649656791
2050,0.9393926389616146
