year,capex_specific_conversion
2022,442.85179086129426
2023,440.88825129889386
2024,438.9247117364935
2025,436.9611721740931
2026,435.0462326641567
2027,433.1312931542203
2028,431.21635364428397
2029,429.30141413434757
2030,427.38647462441116
2031,425.54204425616166
2032,423.69761388791215
2033,421.8531835196626
2034,420.0087531514131
2035,418.1643227831636
2036,416.3198924149141
2037,414.4754620466646
2038,412.63103167841507
2039,410.78660131016557
2040,408.94217094191606
2041,407.18791453373524
2042,405.4336581255545
2043,403.67940171737365
2044,401.9251453091929
2045,400.17088890101206
2046,398.41663249283124
2047,396.6623760846505
2048,394.90811967646965
2049,393.1538632682889
2050,391.39960686010807
