year,opex_specific_fixed
2022,3.082951203963931
2023,3.0823246515395915
2024,3.0816980991152514
2025,3.0810715466909118
2026,3.064050205829681
2027,3.04702886496845
2028,3.0300075241072193
2029,3.0129861832459883
2030,2.9959648423847574
2031,2.987297533848057
2032,2.9786302253113566
2033,2.9699629167746564
2034,2.961295608237956
2035,2.9526282997012556
2036,2.943960991164555
2037,2.9352936826278544
2038,2.9266263740911542
2039,2.9179590655544536
2040,2.909291757017753
2041,2.900624448481053
2042,2.891957139944352
2043,2.883289831407652
2044,2.8746225228709514
2045,2.8659552143342513
2046,2.8572879057975507
2047,2.8486205972608505
2048,2.83995328872415
2049,2.8312859801874497
2050,2.822618671650749
