year,capex_specific_conversion
2022,1786.9786993052323
2023,1785.7111597272094
2024,1784.4436201491867
2025,1783.1760805711638
2026,1781.4160564153021
2027,1779.6560322594407
2028,1777.896008103579
2029,1776.1359839477177
2030,1774.375959791856
2031,1771.6315057112233
2032,1768.8870516305903
2033,1766.1425975499576
2034,1763.3981434693246
2035,1760.6536893886919
2036,1756.5397491496228
2037,1752.4258089105538
2038,1748.3118686714847
2039,1744.1979284324157
2040,1740.0839881933466
2041,1735.3617172644636
2042,1730.6394463355803
2043,1725.9171754066972
2044,1721.194904477814
2045,1716.4726335489308
2046,1712.84536943269
2047,1709.218105316449
2048,1705.590841200208
2049,1701.963577083967
2050,1698.3363129677261
