year,opex_specific_fixed
2022,31.882532354185557
2023,31.85411271436682
2024,31.82569307454808
2025,31.79727343472934
2026,31.75500266615889
2027,31.71273189758844
2028,31.67046112901799
2029,31.62819036044754
2030,31.58591959187709
2031,31.516527949993417
2032,31.447136308109748
2033,31.377744666226075
2034,31.308353024342406
2035,31.238961382458733
2036,31.131052942369045
2037,31.023144502279354
2038,30.915236062189667
2039,30.807327622099976
2040,30.69941918201029
2041,30.57440144126958
2042,30.44938370052887
2043,30.324365959788164
2044,30.199348219047454
2045,30.074330478306745
2046,29.980109804171597
2047,29.88588913003645
2048,29.791668455901302
2049,29.697447781766154
2050,29.603227107631007
