year,capex_specific_conversion
2022,3407.0463365369833
2023,3395.1819894854248
2024,3383.3176424338667
2025,3371.4532953823086
2026,3359.5889483307506
2027,3347.724601279192
2028,3335.860254227634
2029,3323.9959071760754
2030,3312.1315601245174
2031,3308.9570278411957
2032,3305.782495557874
2033,3302.6079632745527
2034,3299.433430991231
2035,3296.2588987079093
2036,3291.381646263936
2037,3286.504393819963
2038,3281.627141375989
2039,3276.749888932016
2040,3271.8726364880426
2041,3263.704364139866
2042,3255.536091791689
2043,3247.367819443513
2044,3239.199547095336
2045,3231.0312747471594
2046,3215.6482650912553
2047,3200.2652554353517
2048,3184.8822457794477
2049,3169.499236123544
2050,3154.11622646764
