year,opex_specific_fixed
2022,78.49004644952579
2023,78.29205588343443
2024,78.09406531734305
2025,77.89607475125167
2026,77.6980841851603
2027,77.50009361906893
2028,77.30210305297756
2029,77.1041124868862
2030,76.90612192079482
2031,76.80712663774914
2032,76.70813135470344
2033,76.60913607165776
2034,76.51014078861206
2035,76.41114550556638
2036,76.2518100768276
2037,76.09247464808882
2038,75.93313921935004
2039,75.77380379061127
2040,75.61446836187248
2041,75.34568144053719
2042,75.07689451920189
2043,74.8081075978666
2044,74.53932067653129
2045,74.270533755196
2046,73.74607458051811
2047,73.22161540584024
2048,72.69715623116235
2049,72.17269705648448
2050,71.6482378818066
