year,opex_specific_variable
2022,1.0
2023,0.9982784954395093
2024,0.9965569908790186
2025,0.9948354863185279
2026,0.993113981758037
2027,0.9913924771975463
2028,0.9896709726370556
2029,0.9879494680765648
2030,0.9862279635160741
2031,0.9846738517176119
2032,0.9831197399191498
2033,0.9815656281206877
2034,0.9800115163222256
2035,0.9784574045237635
2036,0.9761321327071201
2037,0.9738068608904766
2038,0.9714815890738334
2039,0.96915631725719
2040,0.9668310454405467
2041,0.9631477501042524
2042,0.9594644547679579
2043,0.9557811594316635
2044,0.9520978640953691
2045,0.9484145687590748
2046,0.9414637271271691
2047,0.9345128854952635
2048,0.9275620438633577
2049,0.920611202231452
2050,0.9136603605995463
