year,capex_specific_conversion
2022,930.1261448256167
2023,917.4258731193228
2024,904.7256014130289
2025,892.025329706735
2026,880.3275418793847
2027,868.6297540520345
2028,856.9319662246844
2029,845.2341783973342
2030,833.536390569984
2031,827.2393479763233
2032,820.9423053826627
2033,814.645262789002
2034,808.3482201953414
2035,802.0511776016807
2036,796.556122111175
2037,791.0610666206693
2038,785.5660111301636
2039,780.0709556396579
2040,774.5759001491522
2041,768.2788575554915
2042,761.9818149618309
2043,755.6847723681702
2044,749.3877297745096
2045,743.0906871808489
2046,737.5956316903432
2047,732.1005761998375
2048,726.6055207093318
2049,721.1104652188261
2050,715.6154097283204
