year,opex_specific_fixed
2022,20.35719959610157
2023,19.694205742832068
2024,19.031211889562567
2025,18.368218036293065
2026,17.56990255581418
2027,16.771587075335294
2028,15.973271594856408
2029,15.174956114377522
2030,14.376640633898637
2031,14.331434178135346
2032,14.286227722372058
2033,14.241021266608767
2034,14.195814810845478
2035,14.150608355082188
2036,14.105401899318899
2037,14.06019544355561
2038,14.01498898779232
2039,13.969782532029031
2040,13.924576076265742
2041,13.87930696526002
2042,13.834037854254294
2043,13.788768743248571
2044,13.743499632242846
2045,13.698230521237123
2046,13.652961410231399
2047,13.607692299225675
2048,13.56242318821995
2049,13.517154077214228
2050,13.471884966208503
