year,capex_specific_conversion
2022,1299.4939666171397
2023,1294.0437959286157
2024,1288.593625240092
2025,1283.1434545515683
2026,1271.759067437614
2027,1260.3746803236595
2028,1248.9902932097052
2029,1237.6059060957507
2030,1226.2215189817964
2031,1224.1848059010758
2032,1222.1480928203553
2033,1220.111379739635
2034,1218.0746666589143
2035,1216.0379535781938
2036,1214.535898566243
2037,1213.0338435542926
2038,1211.531788542342
2039,1210.0297335303915
2040,1208.5276785184408
2041,1207.02562350649
2042,1205.5235684945396
2043,1204.021513482589
2044,1202.5194584706385
2045,1201.0174034586878
2046,1199.7826774811222
2047,1198.5479515035565
2048,1197.313225525991
2049,1196.0784995484253
2050,1194.8437735708596
