time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.792083955278292,0.8874163631087523,0.7892617587662566,0.8787429004506467,0.7709628358865338,0.8462585817062841,0.7438820537247023,0.8611524768398098,0.8590913577133319,0.9350006984320804,0.7705365567843225,0.8228060034736184,0.7722552033837511,0.7841414739816456,0.7078651209444417,0.8896490288982679,0.8098407255634082,0.6593082276534157,0.7993228763689921,0.9442106855242556,0.6920722883236148,0.757400265099144,0.8683587791724277,0.6853389470731497,0.8431618871559524,0.5845057033809555,0.714425497870479,0.8242981894145209
1,0.7936649498587952,0.8863760080503145,0.8012731983821759,0.8798472166581426,0.772270893559147,0.8457174597545627,0.7413348679266497,0.8653791420174128,0.8668893593247442,0.9348353912400033,0.7780848548632026,0.8216659976599022,0.7754395536190926,0.7876075794847137,0.7154099050789886,0.8904717701657132,0.8174489849561594,0.6558179835758146,0.8069062402790537,0.9437475344371452,0.6927443305873819,0.7590441731121218,0.8737246632988284,0.7032774655629126,0.8435380300356058,0.5904495787855157,0.7180220071189809,0.8300417572290122
2,0.8030102984992347,0.8915869857611987,0.8291047383286596,0.8855573481535073,0.7812788230237089,0.8520335723992581,0.7526782285527421,0.8749900556053394,0.8875581415077558,0.9398277234001393,0.7991458661023131,0.8318382973900271,0.791474712404368,0.8014222834008251,0.7132922450727252,0.8976489603560532,0.838587539947614,0.6720069592966587,0.8251050700847093,0.945934497108139,0.7030087400714488,0.7696067498028122,0.8727891836031454,0.7439894623437612,0.8499313213477762,0.6142460664800813,0.7329240715785654,0.8282351052833419
3,0.8284655152809499,0.9056444295700974,0.9064185848338233,0.8985816845541685,0.8054348960255783,0.8687694886784209,0.7860540001233971,0.9010792264813445,0.9283733610195791,0.9534317133813233,0.8521926970560124,0.8596234485912139,0.8349947834695844,0.8366100334833756,0.7251045070618805,0.9160011676222792,0.8899469649684852,0.7168550927256314,0.8725916351185062,0.9516181427530646,0.7304898789616854,0.79673046207252,0.8824623066519807,0.857926334301514,0.8669538902214633,0.6745264504516638,0.7671799373385801,0.8358633747305704
4,0.8897679203419075,0.9313539364663525,0.9164250919537975,0.9348900556092905,0.8626845344758546,0.9024530264698918,0.8446155170186362,0.9040818775017908,0.9389021131331345,0.9806910803855403,0.8579337179224817,0.9138117532647739,0.9404613691911141,0.9271041072292178,0.7542067465119671,0.9578844328335446,0.896378852577013,0.797093285414825,0.878383376683615,0.9618663311257573,0.7956012621911088,0.861575306314107,0.9119963555177888,0.8713913313055286,0.9054728198383796,0.8305531618901816,0.8627652064665245,0.8567969877985414
5,0.8984985037878619,0.9374109219518926,0.9118462073335586,0.9390650602891413,0.8706681868136027,0.9091138071294271,0.8577654964253233,0.9031312075507143,0.9360935346229263,0.9873456537506896,0.8561085137062563,0.9258294125315174,0.955525491842731,0.9389012809142117,0.8057695167490821,0.9673064594394832,0.8958117604909119,0.8152334473433156,0.8774415681627874,0.9644163407209305,0.804672744888025,0.8705419382378008,0.9619554248153919,0.8643719502322516,0.9108949040930868,0.8505018612000271,0.8745847786143586,0.8940418002415247
6,0.895708656896727,0.9365281034974233,0.915318796051486,0.9364831113580114,0.8697668372275078,0.907557201316012,0.856193922483187,0.9034777804910883,0.9368964544976428,0.9858868336188851,0.8562993374197655,0.923054861623933,0.9537694567663477,0.9369979253383325,0.8203043814394874,0.9643326561592005,0.8944977635850753,0.8126129924765407,0.8772706104428725,0.9638671880825435,0.8011604186993899,0.8691640311678673,0.9795611512960882,0.868086107076709,0.9095773395446386,0.8478102918858436,0.8695470399335229,0.902490641186056
7,0.8961748448042814,0.9369389195150315,0.9067989692801391,0.937325106916501,0.8694044162012213,0.908551778783456,0.855986055303972,0.9011331606950096,0.928008255291183,0.985257832290381,0.8514797986546083,0.9241584107029729,0.9511135155307074,0.9358487435283265,0.8167434095725399,0.964357262440955,0.889225121577454,0.813554436898732,0.8724670609496518,0.9643917706769202,0.8029598544447745,0.868529698202074,0.9754371399437627,0.8561116534445257,0.9101085793392991,0.8453235655299529,0.8733337850652856,0.9012013410077206
8,0.8884351646972278,0.9303555442227569,0.8963476795338217,0.9335941714321477,0.8617799673079966,0.9014378069477244,0.8417796758368197,0.8977026184611379,0.9210335259823031,0.9800158421348116,0.8444024461799727,0.9126220196901345,0.9390537657827314,0.9265789896886694,0.8209351327057727,0.9575840463764548,0.8826841002672444,0.792595959528066,0.8662770102732474,0.9616288350413916,0.7947055226559354,0.8608198298008569,0.9735661795212442,0.840625281835528,0.9040196601214129,0.8299404963950306,0.8636715803179558,0.9024673325230448
9,0.8799235342220434,0.9259214980218977,0.8873644857309783,0.9288356372324045,0.8543874310877669,0.8960025266407048,0.8314218970204104,0.8940907516369765,0.9146726522385988,0.9754070176189058,0.8375643307151031,0.9035380855485226,0.9252798383512946,0.9151534515768128,0.8058470543076328,0.9511356136386558,0.8756110103303166,0.7784157621974509,0.8597696192246964,0.9597679379006331,0.785081519588808,0.8518201940754719,0.9607445551913555,0.8279723997501249,0.8989366182666297,0.8105667309705553,0.8500847046186011,0.892940824405688
