year,opex_specific_fixed
2022,2.962923119429098
2023,2.9194821513415397
2024,2.8760411832539807
2025,2.8326002151664222
2026,2.7986349271420057
2027,2.764669639117589
2028,2.730704351093173
2029,2.6967390630687564
2030,2.66277377504434
2031,2.6722494551074822
2032,2.6817251351706246
2033,2.6912008152337665
2034,2.700676495296909
2035,2.7101521753600513
2036,2.7196278554231936
2037,2.729103535486336
2038,2.738579215549478
2039,2.7480548956126203
2040,2.7575305756757627
2041,2.767006255738905
2042,2.7764819358020474
2043,2.7859576158651893
2044,2.7954332959283317
2045,2.804908975991474
2046,2.8143846560546164
2047,2.8238603361177588
2048,2.8333360161809007
2049,2.842811696244043
2050,2.8522873763071854
