year,opex_specific_variable
2022,1.0
2023,0.9953465821633362
2024,0.9906931643266722
2025,0.9860397464900084
2026,0.9861497091027409
2027,0.9862596717154735
2028,0.9863696343282058
2029,0.9864795969409386
2030,0.9865895595536709
2031,0.9794070016241592
2032,0.9722244436946478
2033,0.965041885765136
2034,0.9578593278356246
2035,0.9506767699061128
2036,0.9481476298132653
2037,0.9456184897204174
2038,0.9430893496275696
2039,0.940560209534722
2040,0.9380310694418742
2041,0.9377011816036768
2042,0.9373712937654793
2043,0.9370414059272817
2044,0.9367115180890843
2045,0.9363816302508867
2046,0.9360517424126892
2047,0.9357218545744915
2048,0.9353919667362941
2049,0.9350620788980964
2050,0.9347321910598989
