year,capex_specific_conversion
2022,1963.5555543114913
2023,1962.9862480653144
2024,1962.4169418191377
2025,1961.847635572961
2026,1960.5024877983312
2027,1959.1573400237016
2028,1957.8121922490718
2029,1956.4670444744422
2030,1955.1218966998124
2031,1952.2272166637601
2032,1949.3325366277077
2033,1946.4378565916554
2034,1943.543176555603
2035,1940.6484965195507
2036,1935.5973691886213
2037,1930.546241857692
2038,1925.4951145267626
2039,1920.4439871958332
2040,1915.3928598649038
2041,1909.3756673133096
2042,1903.3584747617156
2043,1897.3412822101213
2044,1891.3240896585273
2045,1885.306897106933
2046,1881.0029986356647
2047,1876.6991001643962
2048,1872.3952016931278
2049,1868.0913032218593
2050,1863.787404750591
