year,opex_specific_fixed
2022,40.66116279729734
2023,40.642457020637245
2024,40.62375124397715
2025,40.60504546731706
2026,40.56084775472208
2027,40.516650042127104
2028,40.47245232953213
2029,40.42825461693715
2030,40.384056904342174
2031,40.28894598887188
2032,40.193835073401594
2033,40.0987241579313
2034,40.003613242461014
2035,39.90850232699072
2036,39.742536714688754
2037,39.57657110238679
2038,39.41060549008482
2039,39.24463987778285
2040,39.078674265480885
2041,38.88096651021422
2042,38.68325875494755
2043,38.48555099968089
2044,38.28784324441422
2045,38.090135489147556
2046,37.94872168223445
2047,37.80730787532135
2048,37.66589406840824
2049,37.52448026149514
2050,37.383066454582035
