year,capex_specific_conversion
2022,487.186345248536
2023,486.7679333015129
2024,486.34952135448987
2025,485.9311094074668
2026,485.5230536778413
2027,485.1149979482157
2028,484.7069422185902
2029,484.2988864889646
2030,483.8908307593391
2031,483.4977998694576
2032,483.1047689795761
2033,482.7117380896946
2034,482.3187071998131
2035,481.9256763099316
2036,481.5326454200501
2037,481.13961453016856
2038,480.7465836402871
2039,480.3535527504056
2040,479.96052186052407
2041,479.5867061995718
2042,479.21289053861955
2043,478.83907487766726
2044,478.465259216715
2045,478.09144355576274
2046,477.71762789481045
2047,477.3438122338582
2048,476.9699965729059
2049,476.5961809119537
2050,476.2223652510014
