time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK,LU
0,0.4385929254874425,0.15431404013290573,0.7900406563908972,0.49019757893402127,0.3311015451466803,0.30871812543203037,0.3842167773863664,0.30148261437492724,0.32809850261627865,0.3576953819501353,0.3102046046753733,0.3796703797594154,0.5693993754010411,0.7064780051273947,0.782846424590414,0.5422330135229412,0.389783215862631,0.23774485597230946,0.23343610201563975,0.18699604782064413,0.4558549638403332,0.48859395862756194,0.22030099263420153,0.7843654123795444,0.43939888216975964,0.6751292970149614,0.6696009060775965,
1,0.43396049890104305,0.16957270927245702,0.7868823744057185,0.49127325992766546,0.34384520046371275,0.3161004169846407,0.3894703438247592,0.32196125904267564,0.3290903939839363,0.36972752551023214,0.31964395914458654,0.39303502060293,0.5717663137873524,0.6996693665037715,0.7735754486087016,0.5477730476171021,0.389456224422824,0.2457725919704967,0.24454515388783016,0.19813844058954336,0.46203705306656667,0.48954127658175833,0.22754464124747226,0.7835486169792136,0.4431385442157039,0.6672404429087841,0.665329114827484,
2,0.4261590014724677,0.1827615014275196,0.7773931769374786,0.4884402105540519,0.35314911863619486,0.32063847134812434,0.39132500773040113,0.3390264723950987,0.3275061493583601,0.37833245707092916,0.32633814346505446,0.4024821029633187,0.569258750302732,0.6875774901485513,0.7585212395350227,0.5484770899528414,0.3861207454513888,0.2514880563074979,0.2532525008802382,0.20844088322635584,0.464160227051329,0.48656865119394893,0.23255876029064018,0.7763475616355484,0.4432219112065634,0.6544892461624,0.6558861085642321,
3,0.42108197308866446,0.19624785761130523,0.7722880831869876,0.48839371172008655,0.3637484082158882,0.3266658494674465,0.3951079354560601,0.3571337565717956,0.3278304481084343,0.38858686236781603,0.33438575567347023,0.41342132441406587,0.5696799279174442,0.6797096519872715,0.7481908985102381,0.5518366916354294,0.38576224458939995,0.2582674264471879,0.26292725318725896,0.2193019042449043,0.46854436232066604,0.48634776591429324,0.23847365535936707,0.7734396281285735,0.4456976579880199,0.6459335083474673,0.6503229016572432,
4,0.42466094175897634,0.2132937329298451,0.7825824334235914,0.49819613202066776,0.38123903156171,0.33909672678750974,0.4066540687837886,0.3820110296000884,0.33484684073767096,0.4064290232821635,0.3488586370427489,0.4321792759498627,0.5812859025743387,0.685651669693333,0.7530854920371578,0.5659453492478881,0.3935538166377335,0.2700573452131034,0.2776729547945959,0.23423530398322392,0.4821056621013997,0.4959059992940304,0.2489267686843628,0.7859251245450172,0.4570887407835355,0.6506466369654761,0.6578740959628576,
5,0.4374990903346911,0.23511824997462188,0.8095982073635003,0.5188903033570129,0.4070156577937727,0.35898713923222125,0.42702504230131005,0.4155002896000736,0.3492681112633598,0.4333000342716991,0.3709427760323491,0.46027174620570277,0.6052933429761076,0.7063809151975474,0.7741811929776378,0.592160187814399,0.4099322590332365,0.2878108876110618,0.2986283015389112,0.2543517444231325,0.5060935276537615,0.5162678969792677,0.2647713477931286,0.8152617897288426,0.4784950311246495,0.6695035217750167,0.6795884060397498,
6,0.44384866316922206,0.2536236299984686,0.824252474570843,0.5319305973585368,0.4267579641606965,0.373643171391556,0.44103541832352944,0.4431670794881584,0.35860727044487395,0.4539481688564517,0.38755547321816286,0.4814766160895413,0.6200472041377179,0.7164606894087618,0.7835602566782561,0.6093672085318436,0.42016414039610045,0.30139369626987583,0.31534256880929384,0.2708040429174506,0.5225044811733548,0.5289735047756237,0.27666967871680526,0.8322175829380036,0.4928705308016845,0.6783820296319159,0.691036171316429,
7,0.4411090152230361,0.26652405253184136,0.8215466639712703,0.5339065292028196,0.4372263557779522,0.38037403164767264,0.44568224013074026,0.46126642219884506,0.3605383132680123,0.46495006777240966,0.3958277227186568,0.49219503925134245,0.6215830212381046,0.7116941707305872,0.7767219405966294,0.6135292962391338,0.42155472869889354,0.30853890262531836,0.32531098617327675,0.2813283884771293,0.5277889665207123,0.5306434772856717,0.28257071641457737,0.8316310293616653,0.49693083440054725,0.6733481058791504,0.6880763844659635,
8,0.4284340881424687,0.2723701632585634,0.7997601199007026,0.5234524319894919,0.4367361970970155,0.37786407727829324,0.4396352709104976,0.467554317109573,0.35409917437849653,0.4645133500369346,0.3943115683909627,0.49060126669092985,0.6083675662714748,0.6907415996557138,0.7523119424634891,0.6029660548561807,0.4130384829660767,0.3080686399901375,0.32713265354318033,0.28459549579016263,0.5203861326934803,0.5199399601999318,0.2814428850457701,0.8116203208546977,0.48926053336364184,0.6531640914623512,0.6693096815935339,
9,0.4095216284001048,0.2727102804958789,0.7657230971284544,0.5047966727267444,0.42835349073873574,0.36887537890206207,0.4262975850253857,0.4648910261984498,0.34210795843291647,0.45587158979947384,0.3858337114485679,0.4802050767772476,0.5854058647516456,0.6596093115975057,0.7169677435656351,0.5824933622130974,0.39797593411808546,0.302141707600004,0.32296015130780875,0.2823906438583086,0.50434121602641,0.5010845716318542,0.27531087887446576,0.778991472152289,0.47368947955605073,0.6235189660935905,0.6404720522621561,
