year,opex_specific_fixed
2022,17.3558850780639
2023,17.34365785644159
2024,17.33143063481928
2025,17.31920341319697
2026,17.312661803403522
2027,17.306120193610074
2028,17.299578583816626
2029,17.293036974023178
2030,17.28649536422973
2031,17.266584095865937
2032,17.246672827502145
2033,17.226761559138353
2034,17.20685029077456
2035,17.18693902241077
2036,17.167027754046977
2037,17.147116485683185
2038,17.127205217319396
2039,17.107293948955604
2040,17.087382680591812
2041,17.04791760613927
2042,17.008452531686725
2043,16.968987457234178
2044,16.929522382781634
2045,16.89005730832909
2046,16.850592233876547
2047,16.811127159424
2048,16.771662084971457
2049,16.73219701051891
2050,16.692731936066366
