year,capex_specific_conversion
2022,786.1179105736469
2023,784.0191665904284
2024,781.9204226072098
2025,779.8216786239914
2026,777.3940298212262
2027,774.9663810184611
2028,772.5387322156961
2029,770.111083412931
2030,767.6834346101658
2031,765.8261463770151
2032,763.9688581438644
2033,762.1115699107136
2034,760.2542816775629
2035,758.3969934444121
2036,756.767691163426
2037,755.1383888824397
2038,753.5090866014535
2039,751.8797843204673
2040,750.2504820394811
2041,749.0905397858527
2042,747.9305975322243
2043,746.770655278596
2044,745.6107130249676
2045,744.4507707713392
2046,743.5732601688753
2047,742.6957495664115
2048,741.8182389639477
2049,740.9407283614838
2050,740.06321775902
