year,opex_specific_fixed
2022,21.960179123208857
2023,21.915251115119496
2024,21.87032310703013
2025,21.825395098940767
2026,21.77024890394134
2027,21.715102708941913
2028,21.65995651394249
2029,21.604810318943063
2030,21.549664123943636
2031,21.500693138245012
2032,21.451722152546388
2033,21.402751166847764
2034,21.35378018114914
2035,21.304809195450517
2036,21.26225031465652
2037,21.219691433862522
2038,21.177132553068528
2039,21.13457367227453
2040,21.092014791480533
2041,21.06362440031629
2042,21.035234009152042
2043,21.006843617987798
2044,20.97845322682355
2045,20.950062835659306
2046,20.92864809582375
2047,20.907233355988197
2048,20.88581861615264
2049,20.864403876317088
2050,20.84298913648153
