year,opex_specific_variable
2022,1.0
2023,0.9975637445024972
2024,0.9951274890049941
2025,0.9926912335074912
2026,0.9898016632710798
2027,0.9869120930346683
2028,0.9840225227982569
2029,0.9811329525618454
2030,0.978243382325434
2031,0.9759911879681145
2032,0.9737389936107949
2033,0.9714867992534755
2034,0.969234604896156
2035,0.9669824105388365
2036,0.9650146797254194
2037,0.9630469489120027
2038,0.9610792180985858
2039,0.9591114872851689
2040,0.9571437564717521
2041,0.9558045897307847
2042,0.9544654229898174
2043,0.9531262562488503
2044,0.9517870895078829
2045,0.9504479227669157
2046,0.9494182204728815
2047,0.9483885181788474
2048,0.9473588158848133
2049,0.9463291135907791
2050,0.945299411296745
