year,capex_specific_conversion
2022,2011.05500349654
2023,1993.2609146452899
2024,1975.46682579404
2025,1957.67273694279
2026,1939.8786480915398
2027,1922.08455924029
2028,1904.29047038904
2029,1886.49638153779
2030,1868.70229268654
2031,1858.8027643819712
2032,1848.9032360774027
2033,1839.0037077728339
2034,1829.1041794682653
2035,1819.2046511636966
2036,1808.321901229399
2037,1797.4391512951013
2038,1786.5564013608036
2039,1775.673651426506
2040,1764.7909014922084
2041,1758.235138316768
2042,1751.6793751413277
2043,1745.1236119658872
2044,1738.567848790447
2045,1732.0120856150065
2046,1721.135898358737
2047,1710.2597111024675
2048,1699.383523846198
2049,1688.5073365899284
2050,1677.6311493336589
