year,opex_specific_fixed
2022,56.230139892227896
2023,55.53508440282695
2024,54.84002891342602
2025,54.144973424025075
2026,53.44991793462413
2027,52.754862445223196
2028,52.05980695582225
2029,51.36475146642132
2030,50.669695977020375
2031,50.262019199583285
2032,49.8543424221462
2033,49.446665644709114
2034,49.03898886727203
2035,48.63131208983494
2036,48.19137335267237
2037,47.7514346155098
2038,47.31149587834722
2039,46.87155714118465
2040,46.43161840402208
2041,46.174240792044536
2042,45.91686318006698
2043,45.65948556808944
2044,45.402107956111884
2045,45.14473034413434
2046,44.74558881700459
2047,44.34644728987483
2048,43.94730576274508
2049,43.548164235615324
2050,43.149022708485575
