year,opex_specific_variable
2022,1.0
2023,0.998571614426685
2024,0.99714322885337
2025,0.9957148432800552
2026,0.9942864577067403
2027,0.9928580721334255
2028,0.9914296865601104
2029,0.9900013009867955
2030,0.9885729154134806
2031,0.9871345145877941
2032,0.9856961137621076
2033,0.9842577129364213
2034,0.9828193121107347
2035,0.9813809112850481
2036,0.9788205981080158
2037,0.9762602849309834
2038,0.9736999717539511
2039,0.9711396585769188
2040,0.9685793453998863
2041,0.9637154638300749
2042,0.9588515822602639
2043,0.9539877006904527
2044,0.9491238191206415
2045,0.9442599375508303
2046,0.9344662039590792
2047,0.9246724703673281
2048,0.9148787367755773
2049,0.9050850031838265
2050,0.8952912695920754
